Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ม.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ.1,ค่าไฟ,Vat7% ค่าไฟ.1,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก พ.ย,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ธ.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1017,Suite,66,1377,74,1784,8.0,407.0,,,,,240.0,16.8,4070.0,284.90000000000003,13600.0,680,12920.0,2569-02-12 00:00:00,17531.7,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,26520.0,2568-11-24 00:00:00,6 เดือน,,,
E,2,1022,Suite,190,6882,216,7576,26.0,694.0,,,0.0,0.0,780.0,54.60000000000001,6940.0,485.80000000000007,13600.0,680,12920.0,,21180.4,,,,,,,,,,,,,,,,,,,,,,,,,26520.0,2568-06-19 00:00:00,6 เดือน,,,
E,3,1026,Suite,34,1072,36,1103,2.0,31.0,29/1/2569,'M Estate 1983859190,13600.0,12920.0,60.0,4.2,310.0,21.700000000000003,5264.52,263.22600000000006,5001.294000000001,,5397.194,,,,,,,,,,,,,,,,,,,,,,,,,26520.0,2569-01-20 00:00:00,6 เดือน,,,
S,4,2049,Studio,83,4104,83,4128,0.0,24.0,29/1/2569,'M Estate 1983859190,6800.0,6460.0,0.0,0.0,240.0,16.8,2632.26,131.61300000000003,2500.6470000000004,,2757.4470000000006,,,,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-01-20 00:00:00,6 เดือน,,,
W,5,4133,Studio,41,1567,48,1766,7.0,199.0,,,,,210.0,14.700000000000001,1990.0,139.3,6800.0,340,6460.0,,8814.0,,,,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-07-07 00:00:00,6 เดือน,,,
W,6,4134,Studio,31,998,34,1140,3.0,142.0,,,,,90.0,6.300000000000001,1420.0,99.4,6800.0,340,6460.0,,8075.7,,,,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-07-18 00:00:00,6 เดือน,,,
W,7,4135,Studio,14,523,17,673,3.0,150.0,,,,,90.0,6.300000000000001,1500.0,105.00000000000001,6800.0,340,6460.0,,8161.3,,,,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-09-29 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,49.0,1647.0,,รวม,20400.0,19380.0,1470.0,102.9,16470.0,1152.9,55496.78,2774.839,52721.941,,71917.74100000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,132600.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,39780.0,,,,,หักภาษี ณ ที่จ่าย 5%,,2774.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ประกัน+ล่วงหน้า 1026 2049 เข้าพัก 20/1/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,39780,,M Estate 1983859190,,2569-01-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,39780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน มกราคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,71917.74100000001,,M Estate 1983859190,,2569-02-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,71917.74100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่าเดือน ม.ค 69,,,,,,,,,ประกัน+ล่วงหน้า Suite1026 + Studio2049 เข้าพัก 20/1/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Suite/เดือน (บาท),,,,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนห้องเช่า,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า,,,55496.78,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า หลังหัก 5%,,1,52721.941,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vat7%,,,1255.8000000000002,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าน้ำ,,49,1470,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ,,1647,16470,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รวม,,,71917.74100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค้างชำระ,,0,,2569-02-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
