Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ ส.ค,ยูนิตไฟ ส.ค,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ม.ค 2569 (บาท),ค่าทำความสะอาด,ค่าปรับกล่องดักไขมัน,ค่าปรับกุญแจ หาย,จำนวนเงิน (บาท),วันที่ย้ายออก,วันเข้าพัก,สถานะ,ยอดเงินคงเหลือ
E,1,1021,Suite,127,3640,137,3910.0,10.0,270.0,-,-,-,-,300.0,21.000000000000004,2160.0,151.20000000000002,9000.0,-,-,,11632.2,เช่าต่อเนื่อง,2568-03-18 00:00:00,ยังเช่าอยู่,
W,2,4034,Studio,25,1401,29,1759.0,4.0,358.0,,,,,120.0,8.4,2864.0,200.48000000000002,4500.0,,,,7692.879999999999,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,3,4035,Studio,25,1727,29,1863.0,4.0,136.0,-,-,-,-,120.0,8.4,1088.0,76.16000000000001,4500.0,-,-,,5792.5599999999995,เช่าต่อเนื่อง,2568-03-05 00:00:00,ยังเช่าอยู่,
W,4,4036,Studio,15,693,18,733.0,3.0,40.0,,,,,90.0,6.300000000000001,320.0,22.400000000000002,4500.0,,,,4938.7,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,5,4037,Studio,15,771,18,851.0,3.0,80.0,,,,,90.0,6.300000000000001,640.0,44.800000000000004,4500.0,,,,5281.1,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,6,4038,Studio,26,1122,32,1392.0,6.0,270.0,,,,,180.0,12.600000000000001,2160.0,151.20000000000002,4500.0,,,,7003.8,เช่าต่อเนื่อง,2568-09-26 00:00:00,ยังเช่าอยู่,
W,7,4039,Studio,31,1558,35,1841.0,4.0,283.0,,,,,120.0,8.4,2264.0,158.48000000000002,4500.0,,,,7050.879999999999,เช่าต่อเนื่อง,2568-10-04 00:00:00,ยังเช่าอยู่,
W,8,4063,Studio,38,2428,40,2577.0,2.0,149.0,-,-,-,-,60.0,4.2,1192.0,83.44000000000001,4500.0,-,-,,5839.639999999999,เช่าต่อเนื่อง,2568-03-09 00:00:00,ยังเช่าอยู่,
,,,,,,ยูนิตน้ำ+ไฟ,,36.0,1586.0,,,0,0,1080.0,75.60000000000001,12688.0,888.1600000000002,40500.0,0,0,0.0,55231.76,,,,
,,,,,,,,,,,,รวม,,55231.76,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือยกมาจาก ธ.ค 68,,5332904.680000001,,,,,,,,,,,,,,,,,,,,,
,,,ค่าใช้จ่าย ม.ค,,55231.76,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือ =,,5277672.920000001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,สัญญาระบุการจ่ายเงิน,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,8,,,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,,40500,บาท,,,,,,,,,,,,,,,,,,,,,
,Vat7%,,,963.7600000000002,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,36,1080,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,1586,12688,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,รวม,,,55231.76,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ยอดเงินคงเหลือ,,,5277672.920000001,,,,,,,,,,,,,,,,,,,,,,
