Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน ม.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ.1,ค่าไฟ,Vat7% ค่าไฟ.1,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3005,Suite,42,1767,55,2142,13.0,375.0,,,,,390.0,27.300000000000004,3750.0,262.5,0.0,0,12000.0,600.0,11400.0,2569-02-02 00:00:00,15829.8,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,23400.0,2568-10-30 00:00:00,6 เดือน,,,
C,2,3008,Studio,40,1858,44,1976,4.0,118.0,,,,,120.0,8.4,1180.0,82.60000000000001,,,6800.0,340.0,6460.0,,7851.0,,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-10-22 00:00:00,6 เดือน,,,
C,3,3016,Suite,55,1786,77,2215,22.0,429.0,,,,,660.0,46.2,4290.0,300.3,,0,12000.0,600.0,11400.0,,16696.5,,,,,,,,,,,,,,,,,,,,,,,23400.0,2568-11-01 00:00:00,6 เดือน,,,
C,4,3033,Studio,63,2239,69,2361,6.0,122.0,,,,,180.0,12.600000000000001,1220.0,85.4,699.0,48.93000000000001,6800.0,340.0,6460.0,,8705.93,,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-09-10 00:00:00,6 เดือน,,,
C,5,3034 OUT,Studio,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0,,0.0,0.0,,0.0,,,6800.0,6460.0,500.0,35.0,,150.0,10.500000000000002,1540.0,107.80000000000001,53.0,1977.0,58.0,2131.0,5.0,154.0,8803.3,4456.700000000001,2569-02-01 00:00:00,2569-01-31 00:00:00, k.ณรงค์ 0581083912,0.0,2568-11-13 00:00:00,,,,
W,6,4113  OUT,Studio,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0,,0.0,0.0,,0.0,,,6800.0,6460.0,500.0,35.0,,150.0,10.500000000000002,780.0,54.60000000000001,11.0,791.0,16.0,869.0,5.0,78.0,7990.1,5269.9,2569-02-01 00:00:00,2569-01-31 00:00:00, k.ณรงค์ 0581083912,0.0,2568-11-07 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,45.0,1044.0,,,0.0,0.0,1350.0,94.5,10440.0,730.8000000000001,699.0,48.93000000000001,37600.0,1880.0,35720.0,,49083.23,,,13600.0,12920.0,1000.0,70.0,0.0,300.0,21.000000000000004,2320.0,162.40000000000003,,,,,10.0,232.0,16793.4,9726.6,,,,73320.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,,,หักภาษี ณ ที่จ่าย 5%,,1880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน มกราคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
