Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน ม.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3013,Studio,72,2327,76,2520,4.0,193,,,,,120.0,8.4,1930.0,135.10000000000002,699.0,48.93000000000001,6800.0,340.0,6460.0,2569-02-04 00:00:00,9401.43,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-24 00:00:00,6 เดือน,,,
W,2,4078,Studio,22,1111,27,1331,5.0,220,,,,,150.0,10.500000000000002,2200.0,154.00000000000003,699.0,48.93000000000001,6800.0,340.0,6460.0,,9722.43,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-09-29 00:00:00,6 เดือน,,,
W,3,4079,Studio,26,1316,31,1497,5.0,181,,,,,150.0,10.500000000000002,1810.0,126.70000000000002,0.0,0,6800.0,340.0,6460.0,,8557.2,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-09-29 00:00:00,6 เดือน,,,
W,4,4082,Studio,37,1335,51,1670,14.0,335,,,,,420.0,29.400000000000002,3350.0,234.50000000000003,,0,6800.0,340.0,6460.0,,10493.9,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-06 00:00:00,6 เดือน,,,
W,5,4083,Studio,7,1061,7,1334,0.0,273,,,,,0.0,0.0,2730.0,191.10000000000002,0.0,0,6800.0,340.0,6460.0,,9381.1,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-27 00:00:00,6 เดือน,,,
W,6,4084,Studio,24,853,33,1044,9.0,191,,,,,270.0,18.900000000000002,1910.0,133.70000000000002,0.0,0,6800.0,340.0,6460.0,,8792.6,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-27 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,37.0,1393,,,0.0,0.0,1110.0,77.70000000000002,13930.0,975.1000000000001,1398.0,97.86000000000001,40800.0,2040.0,38760.0,,56348.659999999996,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,67660.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,,,หักภาษี ณ ที่จ่าย 5%,,2040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือนมกราคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,56348.66,,M Estate 1983859190,,2569-02-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,56348.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,0,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่าเดือน ม.ค 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,, ห้อง4003 ไฟล์ยูโลจี (ม.ค) ค่า internet  ยอด 648.21 บ.บายมิ่งชำระให้,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนห้องเช่า,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,40800,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า หลังหัก 5%,,,38760,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vat7%,,,1150.6600000000003,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าน้ำ,,37,1110,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ,,1393,13930,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ค่า Internet,,2,1398,บาท,1495.8600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รวม,,,56348.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
