Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า ก.พ,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน ม.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3004,Studio,27,1544.0,33,1727,6.0,183,,,,,180.0,12.600000000000001,1464.0,102.48,5500.0,275.0,5225.0,7/1/2569,6984.08,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,5500.0,2568-11-14 00:00:00,1 ปี,,,
C,,3026,Studio,,,,,,,28/1/2569,'M Estate 1983859190,5500,5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-16 00:00:00,1 ปี,,,
C,,3027,Studio,,,,,,,28/1/2569,'M Estate 1983859190,5500,5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-19 00:00:00,1 ปี,,,
C,,3028,Studio,,,,,,,28/1/2569,'M Estate 1983859190,5500,5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-19 00:00:00,1 ปี,,,
C,,3036,Studio,,,,,,,28/1/2569,'M Estate 1983859190,5500,5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-09 00:00:00,1 ปี,,,
C,,3038,Studio,,,,,,,28/1/2569,'M Estate 1983859190,5500,5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-09 00:00:00,1 ปี,,,
W,2,4054,Studio,58,2218.0,65,2475,7.0,257,-,-,,-,210.0,14.700000000000001,2056.0,143.92000000000002,5500.0,275.0,5225.0,,7649.62,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,3,4055,Studio,26,1879.0,31,2114,5.0,235,,-,-,-,150.0,10.500000000000002,1880.0,131.60000000000002,5500.0,275.0,5225.0,,7397.1,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,4,4056,Studio,34,1653.0,38,1762,4.0,109,,-,-,-,120.0,8.4,872.0,61.040000000000006,5500.0,275.0,5225.0,,6286.4400000000005,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,5,4092,Studio,34,1068.0,39,1207,5.0,139,,,,,150.0,10.500000000000002,1112.0,77.84,5500.0,275.0,5225.0,,6575.34,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,6,4093,Studio,37,1561.0,42,1721,5.0,160,,,,,150.0,10.500000000000002,1280.0,89.60000000000001,5500.0,275.0,5225.0,,6755.1,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,7,4094,Studio,20,439.0,25,529,5.0,90,,,,,150.0,10.500000000000002,720.0,50.400000000000006,5500.0,275.0,5225.0,,6155.9,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,8,4095,Studio,18,1366.0,18,1373,0.0,7,,,,,0.0,0.0,56.0,3.9200000000000004,5500.0,275.0,5225.0,,5284.92,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,9,4096,Studio,39,2107.0,40,2202,1.0,95,,,,,30.0,2.1,760.0,53.2,5500.0,275.0,5225.0,,6070.3,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-11-10 00:00:00,1 ปี,,,
W,10,4115,Studio,20,1159.0,22,1224,2.0,65,,,,,60.0,4.2,520.0,36.400000000000006,5500.0,275.0,5225.0,,5845.6,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,11,4116,Studio,18,539.0,20,571,2.0,32,,,,,60.0,4.2,256.0,17.92,5500.0,275.0,5225.0,,5563.12,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-14 00:00:00,1 ปี,2569-08-14 00:00:00,,
W,12,4117,Studio,9,406.0,11,461,2.0,55,,,,,60.0,4.2,440.0,30.800000000000004,5500.0,275.0,5225.0,,5760,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
W,13,4118,Studio,19,495.0,25,570,6.0,75,,,,,180.0,12.600000000000001,600.0,42.00000000000001,5500.0,275.0,5225.0,,6059.6,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
,,,,,,ยูนิตน้ำ+ไฟ,,50.0,1502,,,27500,26125,1500.0,105.0,12016.0,841.12,71500.0,3575.0,67925.0,,82387.12000000001,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,99000.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,53625,,,,,หักภาษี ณ ที่จ่าย 5%,,3575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ค่าเช่า เดือน มกราคม 69,,,,,,ประกัน + ล่วงหน้า 3026 3036 3038 3027 3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
