Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน ม.ค 2569 (บาท),วันที่จ่าย ค่าเช่าในเดือน ม.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.พ,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1006,Suite,41,1687,48,1998,7.0,311.0,,,,,210.0,14.700000000000001,3110.0,217.70000000000002,,,13600.0,,,2569-02-03 00:00:00,17152.4,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,27200.0,2568-12-15 00:00:00,6 เดือน,,,
E,2,1020,Suite,1435,1194,1449,1627,14.0,433.0,,,,,420.0,29.400000000000002,4330.0,303.1,,0.0,13600.0,,,,18682.5,,,,,,,,,,,,,,,,,,,,,,27200.0,2568-12-03 00:00:00,6 เดือน,,,
C,3,3031,Suite,62,2280,73,2484,11.0,204.0,6/1/2569,M Estate 1983859190,13600.0,13600,330.0,23.1,2040.0,142.8,,,12722.58,,,,15258.48,,,,,,,,,,,,,,,,,,,,,,27200.0,2569-01-03 00:00:00,6 เดือน,,,
W,4,4051,Studio,31,2585,32,2641,1.0,56.0,,,,,30.0,2.1,560.0,39.2,699.0,48.93000000000001,6800.0,,,,8179.2300000000005,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-12-12 00:00:00,6 เดือน,,,
W,5,4111,Studio,27,2195,28,2243,1.0,48.0,,,,,30.0,2.1,480.0,33.6,,0.0,6800.0,,,,7345.700000000001,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-12-05 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,34.0,1052.0,,,13600.0,13600,1020.0,71.39999999999999,10520.0,736.4000000000002,699.0,48.93000000000001,53522.58,,0.0,,66618.31000000001,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,108800.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,27200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า มกราคม ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,66618.31,,M Estate 1983859190,,2569-02-03 00:00:00,,,ยอดรวม,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
