Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน ม.ค 2569 (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,1,2026,Studio,69,3646,70,3717,1.0,71.0,16/1/2569,M Estate 1983859190,6800.0,6800.0,30,2.1,710,49.7,,0.0,4606.45,2569-02-18 00:00:00,5398.25,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13600.0,2569-01-11 00:00:00,6 เดือน,,,
C,2,3011,Studio,16,1662,18,1706,2.0,44.0,26/1/2569,M Estate 1983859190,6800.0,6800.0,60,4.2,440,30.800000000000004,,,3290.32,,3825.32,,,,,,,,,,,,,,,,,,,,,,13600.0,2569-01-17 00:00:00,6 เดือน,,,
W,3,4061,Studio,22,987,24,1072,2.0,85.0,16/1/2569,M Estate 1983859190,6800.0,6800.0,60,4.2,850,59.50000000000001,,0.0,5703.23,,6676.929999999999,,,,,,,,,,,,,,,,,,,,,,13600.0,2569-01-06 00:00:00,6 เดือน,,,
W,4,4101,Studio,13,443,17,556,4.0,113.0,,,,,120,8.4,1130,79.10000000000001,0.0,0.0,6800.0,,8137.5,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-21 00:00:00,6 เดือน,,,
W,5,4102,Studio,19,826,23,1059,4.0,233.0,,,,,120,8.4,2330,163.10000000000002,0.0,0.0,6800.0,,9421.5,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-19 00:00:00,6 เดือน,,,
W,6,4108,Studio,18,887,25,1154,7.0,267.0,,,,,210,14.700000000000001,2670,186.9,699.0,48.93000000000001,6800.0,,10629.529999999999,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-09-24 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,20.0,813.0,,,20400.0,20400.0,600,42.0,8130,569.1,699.0,48.93000000000001,34000.0,,44089.03,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,81260.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,40800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า มกราคม ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
