Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ม.ค 2569 (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,หัก 3% ค่าทำความสะอาด,ค่าทำความสะอาดหลักหัก3%,หัก 3% ค่าทำความสะอาด.1,ค่าทำความสะอาดรวม,ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ.1,ค่าไฟ,Vat7% ค่าไฟ.1,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,1,4041,Studio,21.0,1754,23,1822,2.0,68.0,-,-,-,-,60.0,4.2,544.0,38.080000000000005,6800.0,2569-02-02 00:00:00,7446.28,M Estate 1983859190,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,2,4042,Studio,25.0,1843,28,1945,3.0,102.0,-,-,-,-,90.0,6.300000000000001,816.0,57.120000000000005,6800.0,,7769.42,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,3,4044,Studio,27.0,1394,28,1397,1.0,3.0,-,-,-,-,30.0,2.1,24.0,1.6800000000000002,6800.0,,6857.780000000001,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,4,4045,Studio,32.0,3055,35,3184,3.0,129.0,-,-,-,-,90.0,6.300000000000001,1032.0,72.24000000000001,6800.0,,8000.54,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,5,4046,Studio,14.0,2372,16,2434,2.0,62.0,-,-,-,-,60.0,4.2,496.0,34.720000000000006,6800.0,,7394.92,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,6,4047,Studio,35.0,1551,40,1630,5.0,79.0,-,-,-,-,150.0,10.500000000000002,632.0,44.24,6800.0,,7636.74,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,7,4048,Studio,44.0,2030,49,2155,5.0,125.0,-,-,-,-,150.0,10.500000000000002,1000.0,70.0,6800.0,,8030.5,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,8,4049,Studio,22.0,3160,24,3323,2.0,163.0,-,-,-,-,60.0,4.2,1304.0,91.28000000000002,6800.0,,8259.48,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,9,4050,Studio,22.0,2702,24,2819,2.0,117.0,-,-,-,-,60.0,4.2,936.0,65.52000000000001,6800.0,,7865.72,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
C,10,3012,Studio,31.0,1796,33,1861,2.0,65.0,,,0,0,60.0,4.2,520.0,36.400000000000006,6800.0,,7420.599999999999,,,-,-,-,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13260.0,2568-04-18 00:00:00,6 เดือน,2568-10-31 00:00:00,,
