Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ม.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,Unnamed: 27,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3035,Suite,94,3931,102,4225.0,8,294.0,0.0,0,0.0,0.0,240.0,16.8,2352.0,164.64000000000001,12000.0,600.0,11400.0,2569-02-16 00:00:00,14173.44,,,,,,,,,,,,,,,,,,,,,23400.0,2568-03-12 00:00:00,,,,
W,2,4064,Studio,12,618,15,682.0,3,64.0,0.0,0,0.0,0.0,90.0,6.300000000000001,512.0,35.84,6000.0,300.0,5700.0,,6344.14,,,,,,,,,,,,,,,,,,,,,11700.0,2568-11-25 00:00:00,,,,
W,3,4080,Studio,31,1901,35,2018.0,4,117.0,,,,,120.0,8.4,936.0,65.52000000000001,6000.0,300.0,5700.0,,6829.92,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-24 00:00:00,,,,
W,4,4087,Studio,98,2377,110,2568.0,12,191.0,,,,,360.0,25.200000000000003,1528.0,106.96000000000001,6000.0,300.0,5700.0,,7720.16,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-11 00:00:00,,,,
W,5,4088,Studio,30,1217,35,1306.0,5,89.0,,,,,150.0,10.500000000000002,712.0,49.84,6000.0,300.0,5700.0,,6622.34,,,,,,,,,,,,,,,,,,,,,11700.0,2568-09-19 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,32,755.0,,,0.0,0.0,960.0,67.2,6040.0,422.80000000000007,36000.0,1800.0,34200.0,,41690.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,70200.0,,,,,
,,,,,,,,,,,รวม,0.0,,,,,หักภาษี ณ ที่จ่าย 5%,,1800.0,,,,,,หักภาษี ณ ที่จ่าย 5%,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ค่าเช่า เดือนมกราคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
