Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,ยอดเงินยกมาจากเดือน ธ.ค 2568,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,201563.63999999996,ยอดเงินโอนข้ามเดือน,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,ยอดเงินโอนออกยกมาจากเดือน ธ.ค 2568,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,20609.400000000005,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
No.มีผู้เช่า,Zone,No.,,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าประกัน router,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน (ม.ค) 2568 (บาท),Internet จ่ายพร้อมค่าเช่า ม.ค,Vat7% Internet จ่ายพร้อมค่าเช่า,Internet จ่ายแยกจากค่าเช่า,วันที่จ่าย ค่าเช่าในเดือน (ม.ค),จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.พ,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,รายวัน,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,ค่า Internet,Vat7% internet,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,ค่าใช้จ่ายทั้งสิ้น,คืนประกัน router,ยอดเงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),เงินโอนคืนผู้เช่าย้ายออก (ก.พ),วันที่คืนเงินย้ายออก (ก.พ),ส่วนต่างต้องชำระเพิ่ม ,วันที่ย้ายออก/คืน router,บัญชีที่ใช้โอนคืน,เงินประกัน+ล่วงหน้า (คงเหลือ),ประกัน router คงเหลือ,วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
,ผู้รับเหมาคุณน้ำฝน,,,,,0,803,,873,0,,70,,,,,,0,0,700,49.00000000000001,,,,,,,2569-02-16 00:00:00,749,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,1,จั๊มไฟ,1001,Suite,138,104,139,104,1,0,,,,,,,30,2.1,0,0,,,,,,,2569-02-09 00:00:00,32.1,บจก. เอ็มเอส เทท 1983859190,,-,-,,-,,-,,-,,-,,,,-,-,-,-,-,-,,-,,-,-,-,-,,-,-,5000,,,2 เดือน,,,
,E,2,ว่าง,1002,Suite,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,3,OUT,1003,Studio,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,6800,6800,,700,49.00000000000001,-,,240,16.8,1010,70.7,,,42,41,50,142,8,,101,8886.5,,,,4713.5,2569-02-04 00:00:00,,2569-01-31 00:00:00,k.ณรงค์ 0581083912,0,,2568-12-20 00:00:00,,,,
,E,4,ออฟฟิศ,1004,Suite,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,5,ออฟฟิศ2,1005,Suite,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,6,ไท่ซาน,1006,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157/12/2568,,,,
2,E,7,ทั่วไป,1007,Suite,18,251,51,742,33,,491,,,,,,990,69.30000000000001,4910,343.70000000000005,13600,,,,,,2569-02-12 00:00:00,19913,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-11-27 00:00:00,,,,
3,E,8,ทั่วไป,1008,Suite,4,22,5,85,1,,63,,,,,,30,2.1,630,44.1,13600,699,48.93000000000001,,2569-01-27 00:00:00,15054.130000000001,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-12-01 00:00:00,,,,
