Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน ก.พ 2569 (บาท),วันที่จ่าย ค่าเช่าในเดือน ม.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 27,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),ประกัน router คงเหลือ,วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1006,Suite,48,1998,49,2124,1.0,,126.0,,,,,30.0,2.1,1260.0,88.2,,,13600.0,,,2569-03-04 00:00:00,14980.300000000001,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,27200.0,,2568-12-15 00:00:00,6 เดือน,,,
E,2,1020,Suite,1449,1627,1460,2304,11.0,,677.0,,,,,330.0,23.1,6770.0,473.90000000000003,,0.0,13600.0,,,,21197.0,,,,,,,,,,,,,,,,,,,,,,27200.0,,2568-12-03 00:00:00,6 เดือน,,,
C,3,3030,Suite,64,2321,71,2779,7.0,458.0,,,,,,210.0,14.700000000000001,3664.0,256.48,699.0,48.93000000000001,13600.0,,,,18493.11,,,,,,,,,,,,,,,,,,,,,,27200.0,,2569-01-03 00:00:00,6 เดือน,,,
C,4,3031,Suite,73,2484,89,2994,16.0,,510.0,,,,,480.0,33.6,5100.0,357.00000000000006,,,13600.0,,,,19570.6,,,,,,,,,,,,,,,,,,,,,,27200.0,,2569-01-03 00:00:00,6 เดือน,,,
C,5,3032,Suite,71,2109,77,2535,6.0,,426.0,12/2/2569,M Estate 1983859190,13600.0,13600.0,180.0,12.600000000000001,4260.0,298.20000000000005,,,13600.0,,,,18350.8,,,,,,,,,,,,,,,,,,,,,,27200.0,,2569-02-01 00:00:00,6 เดือน,,,
W,6,4051,Studio,32,2641,34,2736,2.0,,95.0,,,,,60.0,4.2,950.0,66.5,699.0,48.93000000000001,6800.0,,,,8628.630000000001,,,,,,,,,,,,,,,,,,,,,,13600.0,,2568-12-12 00:00:00,6 เดือน,,,
W,7,4111,Studio,28,2243,32,2392,4.0,,149.0,,,,,120.0,8.4,1490.0,104.30000000000001,605.8,42.406,6800.0,,,,9170.905999999999,,,,,,,,,,,,,,,,,,,,,,13600.0,1000.0,2568-12-05 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,47.0,458.0,1983.0,,,13600.0,13600.0,1410.0,98.7,23494.0,1644.5800000000002,2003.8,140.26600000000002,81600.0,,0.0,,110391.34600000002,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,163200.0,,,,,,
,,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,27200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือนกุมภาพันธ์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,110391.346,,M Estate 1983859190,,2569-03-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,110391.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ประกัน+ล่วงหน้า ห้อง3032 เข้าพัก 1/2/2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,27200,,M Estate 1983859190,,2569-02-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,27200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,สลิปโอนค่าเช่าเดือน ก.พ 69,,,,,,,ประกัน+ล่วงหน้า ห้อง3032 เข้าพัก 1/2/2569,,,,,,,,ค่าประกัน router 4111 (พนักงานชำระเอง),,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,10,8,(1 ห้อง 3030),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนห้องเช่า,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,81600,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vat7%,,,1883.5460000000003,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าน้ำ,,47,1410,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ 10 บาท,,1983,19830,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ 8 บาท,,458,3664,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ค่า Internet,,3,2003.8,บาท,2144.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าปรับ,,,0,บาท,,2569-03-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รวม,,,110391.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า ค้างชำระ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค้างชำระประกัน+ล่วงหน้า,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
