Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า มี.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน ก.พ 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,1,2049,Studio IN 23/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,5/2/2569,0.0,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
S,2,2051,Studio IN 23/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
S,3,2052,Studio IN 11/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,4,2053,Studio IN 11/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,5,2054,Studio IN 11/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,6,2055,Studio IN 11/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,7,2056,Studio IN 11/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,8,2057,Studio IN 11/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,9,2058,Studio IN 11/2/69,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
C,10,3004,Studio,33,1727,40,1906,7.0,179,,,,,210.0,14.700000000000001,1432.0,100.24000000000001,5500.0,275.0,5225,,6981.9400000000005,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-11-14 00:00:00,1 ปี,,,
C,11,3026,Studio,37,2356,38,2370,1.0,14,,,,,30.0,2.1,112.0,7.840000000000001,2838.71,141.93550000000002,2696.7745,,2848.7145,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-16 00:00:00,1 ปี,,,
C,12,3027,Studio,94,1740,94,1812,0.0,72,,,,,0.0,0.0,576.0,40.32000000000001,2306.45,115.32249999999999,2191.1274999999996,,2807.4474999999998,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-19 00:00:00,1 ปี,,,
C,13,3028,Studio,30,1651,30,1695,0.0,44,,,,,0.0,0.0,352.0,24.64,2306.45,115.32249999999999,2191.1274999999996,,2567.7674999999995,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-19 00:00:00,1 ปี,,,
C,14,3036,Studio,52,2605,54,2642,2.0,37,,,,,60.0,4.2,296.0,20.720000000000002,4080.65,204.03250000000003,3876.6175000000003,,4257.5375,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-09 00:00:00,1 ปี,,,
C,15,3038,Studio,52,2138,55,2183,3.0,45,,,,,90.0,6.300000000000001,360.0,25.200000000000003,4080.65,204.03250000000003,3876.6175000000003,,4358.1175,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-09 00:00:00,1 ปี,,,
W,16,4054,Studio,65,2475,67,2665,2.0,190,-,-,,-,60.0,4.2,1520.0,106.4,5500.0,275.0,5225,,6915.6,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,17,4055,Studio,31,2114,37,2310,6.0,196,,-,-,-,180.0,12.600000000000001,1568.0,109.76,5500.0,275.0,5225,,7095.36,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,18,4056,Studio,38,1762,42,1897,4.0,135,,-,-,-,120.0,8.4,1080.0,75.60000000000001,5500.0,275.0,5225,,6509.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,19,4092,Studio,39,1207,46,1333,7.0,126,,,,,210.0,14.700000000000001,1008.0,70.56,5500.0,275.0,5225,,6528.26,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
