Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,Unnamed: 18,ค่าห้องเดือน ก.พ 2569 (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 23,ค่าประกัน.1,ค่าเช่า ม.ค,ค่าเช่า ก..พ,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ ชดเชยความเสียหาย,ค่า internet ม.ค,Vat7% ค่า internet,ค่า internet  ก.พ,Vat7% ค่า internet.1,ค่าน้ำ,Vat7% ค่าน้ำ.1,ค่าไฟ,Vat7% ค่าไฟ.1,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),ประกัน router คงเหลือ,วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3002,Suite OUT,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,13600.0,13600.0,13600.0,1000.0,70.0,,699.0,48.93000000000001,699.0,48.93000000000001,30.0,2.1,1860.0,130.20000000000002,33.0,1425.0,34.0,1611,1.0,186.0,31788.16,-4268.16,,2569-03-02 00:00:00,,0.0,0.0,2568-10-09 00:00:00,6 เดือน,,,
W,2,4112,Studio OUT,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,6800.0,6800.0,6800.0,,0.0,,699.0,48.93000000000001,699.0,48.93000000000001,150.0,10.500000000000002,3390.0,237.3,19.0,1105.0,24.0,1444,5.0,339.0,18883.66,-4623.66,,2569-03-02 00:00:00,,0.0,0.0,2568-09-15 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,20400.0,20400.0,20400.0,1000.0,70.0,0.0,1398.0,97.86000000000001,1398.0,97.86000000000001,180.0,12.600000000000001,5250.0,367.5,,,,,6.0,525.0,50671.82,-8891.82,,,,0.0,0.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,สรุปยอดที่ผู้เช่าต้องชำระเพิ่ม หลังย้ายออก,,,,8891.82,,,,,,,,,,
,,ยอดย้ายออก ชำระเพิ่ม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,8891.82,,M Estate 1983859190,,2569-03-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,8891.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
