Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน มี.ค 2569 (บาท),วันที่จ่าย ค่าเช่าในเดือน ม.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 27,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),ประกัน router คงเหลือ,วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1006,Suite,49,2124,55,2389,6.0,,265.0,,,,,180.0,12.600000000000001,2650.0,185.50000000000003,,,13600.0,,,2569-04-06 00:00:00,16628.1,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,27200.0,,2568-12-15 00:00:00,6 เดือน,,,
E,2,1020,Suite,1460,2304,1471,2770,11.0,,466.0,,,,,330.0,23.1,4660.0,326.20000000000005,,0.0,13600.0,,,,18939.3,,,,,,,,,,,,,,,,,,,,,,27200.0,,2568-12-03 00:00:00,6 เดือน,,,
C,3,3030,Suite N,71,2779,76,3110,5.0,331.0,,,,,,150.0,10.500000000000002,2648.0,185.36,699.0,48.93000000000001,13600.0,,,,17341.79,,,,,,,,,,,,,,,,,,,,,,27200.0,,2569-01-03 00:00:00,6 เดือน,,,
C,4,3031,Suite,89,2994,104,3457,15.0,,463.0,,,,,450.0,31.500000000000004,4630.0,324.1,,,13600.0,,,,19035.6,,,,,,,,,,,,,,,,,,,,,,27200.0,,2569-01-03 00:00:00,6 เดือน,,,
C,5,3032,Suite,77,2535,87,3050,10.0,,515.0,,,,,300.0,21.000000000000004,5150.0,360.50000000000006,,,13600.0,,,,19431.5,,,,,,,,,,,,,,,,,,,,,,27200.0,,2569-02-01 00:00:00,6 เดือน,,,
W,6,4051,Studio N,34,2736,37,2871,3.0,,135.0,,,,,90.0,6.300000000000001,1350.0,94.50000000000001,699.0,48.93000000000001,6800.0,,,,9088.73,,,,,,,,,,,,,,,,,,,,,,13600.0,,2568-12-12 00:00:00,6 เดือน,,,
W,7,4111,Studio N,32,2392,34,2527,2.0,,135.0,,,,,60.0,4.2,1350.0,94.50000000000001,699.0,48.93000000000001,6800.0,,,,9056.630000000001,,,,,,,,,,,,,,,,,,,,,,13600.0,1000.0,2568-12-05 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,52.0,331.0,1979.0,,,0.0,0.0,1560.0,109.2,22438.0,1570.66,2097.0,146.79000000000002,81600.0,,0.0,,109521.65,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,163200.0,,,,,,
,,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน มีนาคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,109521.65,,M Estate 1983859190,,2569-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,109521.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,0,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ค่าเช่า เดือน มีนาคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,10,8,(1 ห้อง 3030),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
