Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,3023,Studio,52,2775,55,2845,3.0,70.0,,,,,90.0,6.300000000000001,700.0,49.00000000000001,6800.0,340.0,6460.0,2569-04-03 00:00:00,7305.3,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13260.0,2569-02-06 00:00:00,6 เดือน,,,
W,2,4007,Studio,49,2111,55,2309,6.0,198.0,,,,,180.0,12.600000000000001,1980.0,138.60000000000002,6800.0,340.0,6460.0,,8771.2,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-08 00:00:00,6 เดือน,,,
W,3,4022,Studio,30,2797,33,3093,3.0,296.0,,,0.0,0.0,90.0,6.300000000000001,2960.0,207.20000000000002,6800.0,340.0,6460.0,,9723.5,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-05-17 00:00:00,6 เดือน,,,
W,4,4023,Studio,29,3274,32,3609,3.0,335.0,,,0.0,0.0,90.0,6.300000000000001,3350.0,234.50000000000003,6800.0,340.0,6460.0,,10140.8,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-05-22 00:00:00,6 เดือน,,,
W,5,4024,Studio,18,807,19,913,1.0,106.0,,,,,30.0,2.1,1060.0,74.2,6800.0,340.0,6460.0,,7626.3,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-22 00:00:00,6 เดือน,,,
W,6,4025,Studio,22,1437,27,1716,5.0,279.0,,,,,150.0,10.500000000000002,2790.0,195.3,6800.0,340.0,6460.0,,9605.8,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-22 00:00:00,6 เดือน,,,
W,7,4026,Studio,32,1816,36,2041,4.0,225.0,,,,,120.0,8.4,2250.0,157.50000000000003,6800.0,340.0,6460.0,,8995.9,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-07-01 00:00:00,6 เดือน,,,
W,8,4044,Studio,35,1547,39,1698,4.0,151.0,6/3/2569,M Estate 1983859190,6800.0,6460.0,120.0,8.4,1510.0,105.70000000000002,6361.29,318.0645,6043.2255,,7787.3255,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-03-03 00:00:00,,,,
W,9,4109,Studio,44,2958,48,3174,4.0,216.0,,,,,120.0,8.4,2160.0,151.20000000000002,6800.0,340.0,6460.0,,8899.6,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-12-03 00:00:00,,,,
W,10,4129,Studio,58,1984,58,2228,0.0,244.0,,,,,0.0,0.0,2440.0,170.8,6800.0,340.0,6460.0,,9070.8,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-01 00:00:00,6 เดือน,,,
