Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า เม.ย,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
S,1,2049,Studio,87,4313,87,4324,0.0,11,,,,,0.0,0.0,88.0,6.16,1178.57,58.9285,1119.6415,10/4/2569,1213.8015,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,5500,2569-02-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
S,2,2051,Studio,18,3398,18,3410,0.0,12,,,,,0.0,0.0,96.0,6.720000000000001,1178.57,58.9285,1119.6415,,1222.3615,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
S,3,2052,Studio,99,2668,102,2768,3.0,100,,,,,90.0,6.300000000000001,800.0,56.00000000000001,3732.14,186.607,3545.533,,4497.833,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-11 00:00:00,1 ปี,,,,,,,,,,,,,,,
S,4,2053,Studio,101,2440,104,2565,3.0,125,,,,,90.0,6.300000000000001,1000.0,70,3732.14,186.607,3545.533,,4711.833,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-11 00:00:00,1 ปี,,,,,,,,,,,,,,,
S,5,2054,Studio,55,1904,56,1966,1.0,62,,,,,30.0,2.1,496.0,34.720000000000006,3732.14,186.607,3545.533,,4108.353,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-11 00:00:00,1 ปี,,,,,,,,,,,,,,,
S,6,2055,Studio,54,2248,56,2323,2.0,75,,,,,60.0,4.2,600.0,42.00000000000001,3732.14,186.607,3545.533,,4251.733,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-11 00:00:00,1 ปี,,,,,,,,,,,,,,,
S,7,2056,Studio,63,2737,66,2866,3.0,129,,,,,90.0,6.300000000000001,1032.0,72.24000000000001,3732.14,186.607,3545.533,,4746.073,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-11 00:00:00,1 ปี,,,,,,,,,,,,,,,
S,8,2057,Studio,75,2545,76,2561,1.0,16,,,,,30.0,2.1,128.0,8.96,3732.14,186.607,3545.533,,3714.593,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-11 00:00:00,1 ปี,,,,,,,,,,,,,,,
S,9,2058,Studio,106,4444,108,4564,2.0,120,,,,,60.0,4.2,960.0,67.2,3732.14,186.607,3545.533,,4636.933,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-11 00:00:00,1 ปี,,,,,,,,,,,,,,,
C,10,3002,Suite IN 23/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,11000,10450,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,11000,2569-03-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
