Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน มี.ค 2569 (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,1,2026,Studio,75,3893,78,3988,3.0,95.0,,,,,90,6.300000000000001,950.0,66.5,,0.0,6800.0,2569-04-02 00:00:00,7912.8,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,13600.0,2569-01-11 00:00:00,6 เดือน,,,
C,2,3011,Studio,26,1962,33,2240,7.0,278.0,,,,,210,14.700000000000001,2780.0,194.60000000000002,,,6800.0,,9999.3,,,,,,,,,,,,,,,,,,,,,,,13600.0,2569-01-17 00:00:00,6 เดือน,,,
W,3,4061,Studio,30,1377,38,1663,8.0,286.0,,,,,240,16.8,2860.0,200.20000000000002,,0.0,6800.0,,10117.0,,,,,,,,,,,,,,,,,,,,,,,13600.0,2569-01-06 00:00:00,6 เดือน,,,
W,4,4101,Studio,23,751,26,927,3.0,176.0,,,,,90,6.300000000000001,1760.0,123.20000000000002,0.0,0.0,6800.0,,8779.5,,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-21 00:00:00,6 เดือน,,,
W,5,4102,Studio,28,1349,31,1646,3.0,297.0,,,,,90,6.300000000000001,2970.0,207.9,0.0,0.0,6800.0,,10074.2,,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-19 00:00:00,6 เดือน,,,
W,6,4108,Studio,31,1439,40,1888,9.0,449.0,,,,,270,18.900000000000002,4490.0,314.3,699.0,48.93000000000001,6800.0,,12641.130000000001,,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-09-24 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,33.0,1581.0,,,0.0,0.0,990,69.3,15810.0,1106.7,699.0,48.93000000000001,40800.0,,59523.93000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,81260.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน มีนาคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,59523.93,,M Estate 1983859190,,2569-04-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
