Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% ค่า internet,ค่าห้องเดือน มี.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1016,Suite,21,782,36,1386,15.0,604.0,,,,,450.0,31.500000000000004,6040.0,422.80000000000007,0,0,13600.0,680.0,12920.0,2569-03-27 00:00:00,19864.3,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,26520.0,2569-02-05 00:00:00,6 เดือน,,,
E,2,1026,Suite IN 19/3/69,57,1685,58,1803,1.0,118.0,19/3/2569,M Estate 1983859190,13600,12920.0,30.0,2.1,1180.0,82.60000000000001,0,0,5703.22,285.161,5418.059,,6712.759,,,,,,,,,,,,,,,,,,,,,,26520.0,2569-03-19 00:00:00,6 เดือน,,,
E,3,1027,Suite IN 19/3/69,51,1163,54,1230,3.0,67.0,19/3/2569,M Estate 1983859190,13600,12920.0,90.0,6.300000000000001,670.0,46.900000000000006,0,0,5703.22,285.161,5418.059,,6231.259,,,,,,,,,,,,,,,,,,,,,,26520.0,2569-03-19 00:00:00,6 เดือน,,,
E,4,1030,Suite,123,4222,143,4810,20.0,588.0,,,,,600.0,42.00000000000001,5880.0,411.6,0,0,14571.42,728.571,13842.849,,20776.449,,,,,,,,,,,,,,,,,,,,,,26520.0,2569-02-27 00:00:00,6 เดือน,,,
S,5,2021,Studio,94,2273,106,2573,12.0,300.0,,,,,360.0,25.200000000000003,3000.0,210.00000000000003,0,0,6800.0,340.0,6460.0,,10055.2,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-01-30 00:00:00,6 เดือน,,,
C,6,3025,Studio,61,2168,70,2486,9.0,318.0,,,,,270.0,18.900000000000002,3180.0,222.60000000000002,0,0,6800.0,340.0,6460.0,,10151.5,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-01-30 00:00:00,6 เดือน,,,
C,7,3034,Studio,64,2339,72,2627,8.0,288.0,,,,,240.0,16.8,2880.0,201.60000000000002,0,0,6800.0,340.0,6460.0,,9798.4,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-02-01 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,68.0,2283.0,,,27200,25840.0,2040.0,142.8,22830.0,1598.1,0,0,59977.86,2998.893,56978.967000000004,,83589.867,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,145860.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,53040,,,,,,,หักภาษี ณ ที่จ่าย 5%,,2998.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
