Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,เฟส 2 Studio 5 ห้อง ย้ายมาจาก เฟส1 เมื่อวันที่ 15/3/2569,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
N,1,5001,Studio,4,15,5,95,1,80,,,,,30,2.1,800,56.00000000000001,3250,2569-03-28 00:00:00,7430.900000000001,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,,,,
N,2,5002,Studio,2,15,4,128,2,113,,,,,60,4.2,1130,79.10000000000001,3250,,8607.900000000001,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,,,,
N,3,5003,Studio,4,8,5,59,1,51,,,,,30,2.1,510,35.7,3250,,5452.8,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,,,,
N,4,5004,Studio,2,11,3,101,1,90,,,,,30,2.1,900,63.00000000000001,3250,,6308.8,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,,,,
N,5,5005,Studio,4,5,6,115,2,110,,,,,60,4.2,1100,77.00000000000001,3250,,4491.2,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,7,444,,,0,0,210,14.7,4440,310.8,16250,,32291.600000000002,,,,0,0,0,0,0,,,,,0,0,0,0,,,,,,65000,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หมายเหตุ : บ.ซีโน - และสิ่งแวดล้อม ย้ายมาจาก เฟส 1 เมื่อ 15/3/2569 Suite 1001 1002 ประกัน + ล่วงหน้า ยกมา โดยแปลงเป็นห้อง Studio 4  ห้อง + Studio เดิม 1 ห้อง (ยก ประกัน ล่วงหน้า ไป Aohong 1 ห้อง)  รวม 5 ห้อง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
