Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,หัก 3% ค่าทำความสะอาด,ค่าทำความสะอาดหลักหัก3%,หัก 3% ค่าทำความสะอาด.1,ค่าทำความสะอาดรวม,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ.1,ค่าไฟ,Vat7% ค่าไฟ.1,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,1,4041,Studio,26.0,2082,26,2232,0.0,150.0,-,-,-,-,0.0,0,1200.0,84.00000000000001,6800.0,2569-04-07 00:00:00,8084,M Estate 1983859190,,-,-,-,,,,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,2,4042,Studio,30.0,2103,32,2313,2.0,210.0,-,-,-,-,60.0,4.2,1680.0,117.60000000000001,6800.0,,8661.800000000001,,,-,-,-,,,,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,3,4045,Studio,38.0,3425,40,3596,2.0,171.0,-,-,-,-,60.0,4.2,1368.0,95.76,6800.0,,8327.960000000001,,,-,-,-,,,,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,4,4046,Studio,16.0,2485,18,2639,2.0,154.0,-,-,-,-,60.0,4.2,1232.0,86.24000000000001,6800.0,,8182.44,,,-,-,-,,,,,,-,,-,,-,,-,-,,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,5,4047,Studio,45.0,1827,48,2041,3.0,214.0,-,-,-,-,90.0,6.300000000000001,1712.0,119.84000000000002,6800.0,,8728.14,,,-,-,-,,,,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,6,4048,Studio,52.0,2296,54,2490,2.0,194.0,-,-,-,-,60.0,4.2,1552.0,108.64000000000001,6800.0,,8524.84,,,-,-,-,,,,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,7,4049,Studio,25.0,3447,26,3746,1.0,299.0,-,-,-,-,30.0,2.1,2392.0,167.44000000000003,6800.0,,9391.54,,,-,-,-,,,,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,8,4050,Studio,27.0,3057,29,3270,2.0,213.0,-,-,-,-,60.0,4.2,1704.0,119.28000000000002,6800.0,,8687.480000000001,,,-,-,-,,,,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
C,9,3012,Studio,35.0,1931,35,1964,0.0,33.0,,,0,0,0.0,0,264.0,18.48,6800.0,,7082.48,,,-,-,-,,,,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,13260.0,2568-04-18 00:00:00,6 เดือน,2568-10-31 00:00:00,,
,,,,,,ยูนิตน้ำ+ไฟ,,14.0,1638.0,-,-,0,0,420.0,29.400000000000002,13104.0,917.2800000000001,61200.0,,75670.68000000001,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0,0,0,,,,122060.0,,,,,
