Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2001,Studio,105,3656,113,3979,8.0,323.0,-,-,-,-,240.0,16.8,2584.0,180.88000000000002,4500,225.0,4275.0,2569-04-07 00:00:00,7296.68,M Estate 1983859190,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,2,2002,Studio,70,3576,72,3760,2.0,184.0,-,-,-,-,60.0,4.2,1472.0,103.04,4500,225.0,4275.0,,5914.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,3,2003,Studio,67,2397,73,2618,6.0,221.0,-,-,-,-,180.0,12.600000000000001,1768.0,123.76,4500,225.0,4275.0,,6359.360000000001,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,4,2004,Studio,108,1464,108,1464,0.0,0.0,-,-,-,-,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,5,2005,Studio,82,3141,88,3361,6.0,220.0,-,-,-,-,180.0,12.600000000000001,1760.0,123.20000000000002,4500,225.0,4275.0,,6350.799999999999,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,6,2006,Studio,235,2216,245,2371,10.0,155.0,-,-,-,-,300.0,21.000000000000004,1240.0,86.80000000000001,4500,225.0,4275.0,,5922.8,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,7,2007,Studio,89,2268,97,2457,8.0,189.0,-,-,-,-,240.0,16.8,1512.0,105.84,4500,225.0,4275.0,,6149.639999999999,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,8,2008,Studio,56,1575,60,1772,4.0,197.0,-,-,-,-,120.0,8.4,1576.0,110.32000000000001,4500,225.0,4275.0,,6089.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,9,2009,Studio,88,2570,94,2741,6.0,171.0,-,-,-,-,180.0,12.600000000000001,1368.0,95.76,4500,225.0,4275.0,,5931.36,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,10,2010,Studio,72,1788,77,1918,5.0,130.0,-,-,-,-,150.0,10.500000000000002,1040.0,72.80000000000001,4500,225.0,4275.0,,5548.3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,11,2011,Studio,121,3692,130,4062,9.0,370.0,-,-,-,-,270.0,18.900000000000002,2960.0,207.20000000000002,4500,225.0,4275.0,,7731.1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,12,2012,Studio,61,3035,64,3209,3.0,174.0,-,-,-,-,90.0,6.300000000000001,1392.0,97.44000000000001,4500,225.0,4275.0,,5860.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,13,2013,Studio,79,3592,85,3802,6.0,210.0,-,-,-,-,180.0,12.600000000000001,1680.0,117.60000000000001,4500,225.0,4275.0,,6265.2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,14,2014,Studio,322,1769,324,2106,2.0,337.0,-,-,-,-,60.0,4.2,2696.0,188.72000000000003,4500,225.0,4275.0,,7223.92,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,15,2015,Studio,48,2024,51,2166,3.0,142.0,-,-,-,-,90.0,6.300000000000001,1136.0,79.52000000000001,4500,225.0,4275.0,,5586.82,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,16,2016,Studio,47,1858,49,2033,2.0,175.0,-,-,-,-,60.0,4.2,1400.0,98.00000000000001,4500,225.0,4275.0,,5837.2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,17,2017,Studio,67,1906,70,2078,3.0,172.0,-,-,-,-,90.0,6.300000000000001,1376.0,96.32000000000001,4500,225.0,4275.0,,5843.62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,18,2018,Studio,110,3328,119,3634,9.0,306.0,-,-,-,-,270.0,18.900000000000002,2448.0,171.36,4500,225.0,4275.0,,7183.26,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,19,2019,Studio,71,3788,76,3950,5.0,162.0,-,-,-,-,150.0,10.500000000000002,1296.0,90.72000000000001,4500,225.0,4275.0,,5822.22,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,86,2819,89,3041,3.0,222.0,-,-,-,-,90.0,6.300000000000001,1776.0,124.32000000000001,4500,225.0,4275.0,,6271.62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,39,1661,41,1808,2.0,147.0,-,-,-,-,60.0,4.2,1176.0,82.32000000000001,4500,225.0,4275.0,,5597.52,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,22,679,22,715,0.0,36.0,-,-,-,-,0.0,0,288.0,20.160000000000004,4500,225.0,4275.0,,4583.16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,71,2348,71,2519,0.0,171.0,-,-,-,-,0.0,0,1368.0,95.76,4500,225.0,4275.0,,5738.76,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,38,1641,39,1697,1.0,56.0,-,-,-,-,30.0,2.1,448.0,31.360000000000003,4500,225.0,4275.0,,4786.46,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,65,2720,66,2827,1.0,107.0,-,-,-,-,30.0,2.1,856.0,59.92000000000001,4500,225.0,4275.0,,5223.02,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,26,2034,Studio,32,1700,34,1760,2.0,60.0,-,-,-,-,60.0,4.2,480.0,33.6,4500,225.0,4275.0,,4852.8,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,39,1072,42,1208,3.0,136.0,-,-,-,-,90.0,6.300000000000001,1088.0,76.16000000000001,4500,225.0,4275.0,,5535.46,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,56,1731,56,1733,0.0,2.0,-,-,-,-,0.0,0,16.0,1.12,4500,225.0,4275.0,,4292.12,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,24,1423,25,1503,1.0,80.0,-,-,-,-,30.0,2.1,640.0,44.800000000000004,4500,225.0,4275.0,,4991.9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,50,2744,53,2962,3.0,218.0,-,-,-,-,90.0,6.300000000000001,1744.0,122.08000000000001,4500,225.0,4275.0,,6237.38,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,48,1967,49,2044,1.0,77.0,-,-,-,-,30.0,2.1,616.0,43.120000000000005,4500,225.0,4275.0,,4966.22,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,44,2630,46,2801,2.0,171.0,-,-,-,-,60.0,4.2,1368.0,95.76,4500,225.0,4275.0,,5802.96,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,43,1872,44,1981,1.0,109.0,-,-,-,-,30.0,2.1,872.0,61.040000000000006,4500,225.0,4275.0,,5240.14,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,51,1466,54,1650,3.0,184.0,-,-,-,-,90.0,6.300000000000001,1472.0,103.04,4500,225.0,4275.0,,5946.34,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,38,1960,38,2071,0.0,111.0,-,-,-,-,0.0,0,888.0,62.160000000000004,4500,225.0,4275.0,,5225.16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,57,1781,61,1903,4.0,122.0,-,-,-,-,120.0,8.4,976.0,68.32000000000001,4500,225.0,4275.0,,5447.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
