Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ ส.ค,ยูนิตไฟ ส.ค,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),ค่าทำความสะอาด,ค่าปรับกล่องดักไขมัน,ค่าปรับกุญแจ หาย,จำนวนเงิน (บาท),วันที่ย้ายออก,วันเข้าพัก,สถานะ,ยอดเงินคงเหลือ
E,1,1021,Suite,146,4264,151,4475.0,5.0,211.0,-,-,-,-,150.0,10.500000000000002,1688.0,118.16000000000001,9000.0,-,-,,10966.66,เช่าต่อเนื่อง,2568-03-18 00:00:00,ยังเช่าอยู่,
W,2,4034,Studio,34,2139,37,2520.0,3.0,381.0,,,,,90.0,6.300000000000001,3048.0,213.36,4500.0,,,,7857.66,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,3,4035,Studio,34,2050,37,2289.0,3.0,239.0,-,-,-,-,90.0,6.300000000000001,1912.0,133.84,4500.0,-,-,,6642.14,เช่าต่อเนื่อง,2568-03-05 00:00:00,ยังเช่าอยู่,
W,4,4036,Studio,21,781,30,1009.0,9.0,228.0,,,,,270.0,18.900000000000002,1824.0,127.68,4500.0,,,,6740.58,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,5,4037,Studio,22,1060,25,1277.0,3.0,217.0,,,,,90.0,6.300000000000001,1736.0,121.52000000000001,4500.0,,,,6453.820000000001,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,6,4038,Studio,35,1614,39,1842.0,4.0,228.0,,,,,120.0,8.4,1824.0,127.68,4500.0,,,,6580.08,เช่าต่อเนื่อง,2568-09-26 00:00:00,ยังเช่าอยู่,
W,7,4039,Studio,38,2076,42,2361.0,4.0,285.0,,,,,120.0,8.4,2280.0,159.60000000000002,4500.0,,,,7068.0,เช่าต่อเนื่อง,2568-10-04 00:00:00,ยังเช่าอยู่,
W,8,4063,Studio,43,2960,47,3162.0,4.0,202.0,-,-,-,-,120.0,8.4,1616.0,113.12,4500.0,-,-,,6357.5199999999995,เช่าต่อเนื่อง,2568-03-09 00:00:00,ยังเช่าอยู่,
,,,,,,ยูนิตน้ำ+ไฟ,,35.0,1991.0,,,0,0,1050.0,73.50000000000001,15928.0,1114.96,40500.0,0,0,0.0,58666.46,,,,
,,,,,,,,,,,,รวม,,58666.46,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือยกมาจาก ก.พ 69,,5218775.340000001,,,,,,,,,,,,,,,,,,,,,
,,,ค่าใช้จ่าย มี.ค,,58666.46,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือ =,,5160108.880000001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,สัญญาระบุการจ่ายเงิน,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,8,,,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,,40500,บาท,,,,,,,,,,,,,,,,,,,,,
,Vat7%,,,1188.46,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,35,1050,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,1991,15928,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,รวม,,,58666.46,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ยอดเงินคงเหลือ,,,5160108.880000001,,,,,,,,,,,,,,,,,,,,,,
