Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,1,2049,Studio,87,4324,92,4621,5,297,,,,,150.0,10.500000000000002,2376,166.32000000000002,5500,275.0,5225.0,10/4/2569,7927.82,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
S,2,2051,Studio,18,3410,18,3571,0,161,,,,,0.0,0.0,1288,90.16000000000001,5500,275.0,5225.0,,6603.16,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
S,3,2052,Studio,102,2768,107,2940,5,172,,,,,150.0,10.500000000000002,1376,96.32000000000001,5500,275.0,5225.0,,6857.82,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,4,2053,Studio,104,2565,112,2779,8,214,,,,,240.0,16.8,1712,119.84000000000002,5500,275.0,5225.0,,7313.639999999999,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,5,2054,Studio,56,1966,58,2087,2,121,,,,,60.0,4.2,968,67.76,5500,275.0,5225.0,,6324.96,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,6,2055,Studio,56,2323,59,2464,3,141,,,,,90.0,6.300000000000001,1128,78.96000000000001,5500,275.0,5225.0,,6528.26,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,7,2056,Studio,66,2866,68,3032,2,166,,,,,60.0,4.2,1328,92.96000000000001,5500,275.0,5225.0,,6710.16,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,8,2057,Studio,76,2561,80,2697,4,136,,,,,120.0,8.4,1088,76.16000000000001,5500,275.0,5225.0,,6517.56,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,9,2058,Studio,108,4564,111,4769,3,205,,,,,90.0,6.300000000000001,1640,114.80000000000001,5500,275.0,5225.0,,7076.1,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
C,10,3002,Suite OUT 15/4/69,34,1612,34,1633,0,21,,,,,0.0,0.0,168,11.760000000000002,3193.55,159.6775,3033.8725000000004,,3213.6325000000006,,,11000.0,11000.0,4500.0,600.0,42.00000000000001,300.0,21.000000000000004,270.0,18.900000000000002,2872,201.04000000000002,34.0,1633.0,43.0,1992.0,9.0,359.0,8824.94,13175.06,รอโอนคืน,2569-04-15 00:00:00,k.ณรงค์ 0581083912,0.0,2569-03-23 00:00:00,1 ปี,,,
