Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,1,2027,Studio IN 18/4/69,83,4079,84,4141.0,1.0,62.0,,,,,30.0,2.1,620.0,43.400000000000006,2946.66,147.333,2799.3269999999998,,3494.8269999999998,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13260.0,2569-04-18 00:00:00,6 เดือน,,,
C,2,3023,Studio,55,2845,57,2932.0,2.0,87.0,,,,,60.0,4.2,870.0,60.900000000000006,6800.0,340.0,6460.0,,7455.1,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-02-06 00:00:00,6 เดือน,,,
W,3,4007,Studio,55,2309,61,2603.0,6.0,294.0,,,,,180.0,12.600000000000001,2940.0,205.8,6800.0,340.0,6460.0,,9798.4,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-08 00:00:00,6 เดือน,,,
W,4,4022,Studio,33,3093,36,3518.0,3.0,425.0,,,0.0,0.0,90.0,6.300000000000001,4250.0,297.5,6800.0,340.0,6460.0,,11103.8,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-05-17 00:00:00,6 เดือน,,,
W,5,4023,Studio,32,3609,34,4096.0,2.0,487.0,,,0.0,0.0,60.0,4.2,4870.0,340.90000000000003,6800.0,340.0,6460.0,,11735.099999999999,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-05-22 00:00:00,6 เดือน,,,
W,6,4024,Studio,19,913,22,1093.0,3.0,180.0,,,,,90.0,6.300000000000001,1800.0,126.00000000000001,6800.0,340.0,6460.0,,8482.3,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-22 00:00:00,6 เดือน,,,
W,7,4025,Studio,27,1716,32,2110.0,5.0,394.0,,,,,150.0,10.500000000000002,3940.0,275.8,6800.0,340.0,6460.0,,10836.3,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-22 00:00:00,6 เดือน,,,
W,8,4026,Studio,36,2041,40,2312.0,4.0,271.0,,,,,120.0,8.4,2710.0,189.70000000000002,6800.0,340.0,6460.0,,9488.1,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-07-01 00:00:00,6 เดือน,,,
W,9,4044,Studio,39,1698,44,1935.0,5.0,237.0,,,,,150.0,10.500000000000002,2370.0,165.9,6800.0,340.0,6460.0,,9156.4,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-03-03 00:00:00,6 เดือน,,,
W,10,4109,Studio,48,3174,52,3457.0,4.0,283.0,,,,,120.0,8.4,2830.0,198.10000000000002,6800.0,340.0,6460.0,,9616.5,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-12-03 00:00:00,6 เดือน,,,
W,11,4129,Studio,58,2228,63,2565.0,5.0,337.0,,,,,150.0,10.500000000000002,3370.0,235.90000000000003,6800.0,340.0,6460.0,,10226.4,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-01 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,40.0,3057.0,,,0.0,0.0,1200.0,84.00000000000001,30570.0,2139.9,70946.66,3547.333,67399.32699999999,,101393.227,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,147560.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,หักภาษี ณ ที่จ่าย 5%,,3547.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,0,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
