Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน พ.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,1,2049,Studio,92,4621,96,4991,4.0,370,,,,,120.0,8.4,2960,207.20000000000002,4500.0,225.0,4275.0,10/4/2569,7570.6,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
S,2,2051,Studio,18,3571,18,3891,0.0,320,,,,,0.0,0.0,2560,179.20000000000002,4500.0,225.0,4275.0,,7014.2,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
S,3,2052,Studio,107,2940,115,3156,8.0,216,,,,,240.0,16.8,1728,120.96000000000001,4500.0,225.0,4275.0,,6380.76,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,4,2053,Studio,112,2779,114,2922,2.0,143,,,,,60.0,4.2,1144,80.08000000000001,4500.0,225.0,4275.0,,5563.28,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,5,2054,Studio,58,2087,64,2288,6.0,201,,,,,180.0,12.600000000000001,1608,112.56000000000002,4500.0,225.0,4275.0,,6188.16,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,6,2055,Studio,59,2464,63,2634,4.0,170,,,,,120.0,8.4,1360,95.2,4500.0,225.0,4275.0,,5858.6,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,7,2056,Studio,68,3032,71,3233,3.0,201,,,,,90.0,6.300000000000001,1608,112.56000000000002,4500.0,225.0,4275.0,,6091.86,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,8,2057,Studio,80,2697,84,2866,4.0,169,,,,,120.0,8.4,1352,94.64000000000001,4500.0,225.0,4275.0,,5850.04,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
S,9,2058,Studio,111,4769,114,5021,3.0,252,,,,,90.0,6.300000000000001,2016,141.12,4500.0,225.0,4275.0,,6528.42,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-11 00:00:00,1 ปี,,,
W,10,3021,Studio IN 16/5/69,0,0,0,0,0.0,0,รอชำระ,M Estate 1983859190,4500.0,4275.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2569-05-16 00:00:00,1 ปี,,,
C,11,3026,Studio,39,2395,42,2540,3.0,145,,,,,90.0,6.300000000000001,1160,81.2,4500.0,225.0,4275.0,,5612.5,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-16 00:00:00,1 ปี,,,
C,12,3027,Studio,96,2059,98,2327,2.0,268,,,,,60.0,4.2,2144,150.08,4500.0,225.0,4275.0,,6633.28,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-19 00:00:00,1 ปี,,,
C,13,3028,Studio,35,2035,41,2386,6.0,351,,,,,180.0,12.600000000000001,2808,196.56000000000003,4500.0,225.0,4275.0,,7472.16,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-19 00:00:00,1 ปี,,,
C,14,3036,Studio,57,2821,59,2995,2.0,174,,,,,60.0,4.2,1392,97.44000000000001,4500.0,225.0,4275.0,,5828.64,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-09 00:00:00,1 ปี,,,
C,15,3038,Studio,63,2368,72,2696,9.0,328,,,,,270.0,18.900000000000002,2624,183.68,4500.0,225.0,4275.0,,7371.58,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-01-09 00:00:00,1 ปี,,,
W,16,4054,Studio,67,3015,67,3278,0.0,263,,,,,0.0,0.0,2104,147.28,4500.0,225.0,4275.0,,6526.280000000001,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,17,4055,Studio,48,2708,55,3045,7.0,337,,,,,210.0,14.700000000000001,2696,188.72000000000003,4500.0,225.0,4275.0,,7384.42,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,18,4056,Studio,48,2181,52,2520,4.0,339,,,,,120.0,8.4,2712,189.84000000000003,4500.0,225.0,4275.0,,7305.24,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,19,4066,Studio IN 15/3/69,41,1667,46,1940,5.0,273,,,,,150.0,10.500000000000002,2184,152.88000000000002,4500.0,225.0,4275.0,,6772.38,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,20,4077,Studio IN 1/3/69,46,2195,51,2400,5.0,205,,,,,150.0,10.500000000000002,1640,114.80000000000001,4500.0,225.0,4275.0,,6190.3,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-01 00:00:00,1 ปี,,,
W,21,4088,Studio IN 1/3/69,47,1596,55,1819,8.0,223,,,,,240.0,16.8,1784,124.88000000000001,4500.0,225.0,4275.0,,6440.68,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-01 00:00:00,1 ปี,,,
W,22,4090,Studio IN 15/3/69,32,1750,37,2016,5.0,266,,,,,150.0,10.500000000000002,2128,148.96,4500.0,225.0,4275.0,,6712.46,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,23,4092,Studio,56,1660,61,1887,5.0,227,,,,,150.0,10.500000000000002,1816,127.12000000000002,4500.0,225.0,4275.0,,6378.62,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,24,4093,Studio,62,2269,72,2559,10.0,290,,,,,300.0,21.000000000000004,2320,162.4,4500.0,225.0,4275.0,,7078.4,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,25,4094,Studio,40,793,46,940,6.0,147,,,,,180.0,12.600000000000001,1176,82.32000000000001,4500.0,225.0,4275.0,,5725.92,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,26,4095,Studio,30,1702,37,1945,7.0,243,,,,,210.0,14.700000000000001,1944,136.08,4500.0,225.0,4275.0,,6579.78,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,27,4096,Studio,55,2694,60,2913,5.0,219,,,,,150.0,10.500000000000002,1752,122.64000000000001,4500.0,225.0,4275.0,,6310.14,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-11-10 00:00:00,1 ปี,,,
