Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% ค่า internet,ค่าห้องเดือน พ.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1016,Suite,36,1386,51,2151.0,15.0,765.0,,,,,450.0,31.500000000000004,7650.0,535.5,0.0,0,13600.0,680.0,12920.0,,21587.0,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,26520.0,2569-02-05 00:00:00,6 เดือน,,,
E,2,1026,Suite IN 19/3/69,58,1803,70,2418.0,12.0,615.0,,,,,360.0,25.200000000000003,6150.0,430.50000000000006,0.0,0,13600.0,680.0,12920.0,,19885.7,,,,,,,,,,,,,,,,,,,,,,26520.0,2569-03-19 00:00:00,6 เดือน,,,
E,3,1027,Suite IN 19/3/69,54,1230,77,1824.0,23.0,594.0,,,,,690.0,48.300000000000004,5940.0,415.8,0.0,0,13600.0,680.0,12920.0,,20014.1,,,,,,,,,,,,,,,,,,,,,,26520.0,2569-03-19 00:00:00,6 เดือน,,,
E,4,1030,Suite,143,4810,171,5735.0,28.0,925.0,,,,,840.0,58.800000000000004,9250.0,647.5000000000001,0.0,0,13600.0,680.0,12920.0,,23716.3,,,,,,,,,,,,,,,,,,,,,,26520.0,2569-02-27 00:00:00,6 เดือน,,,
S,5,2021,Studio,106,2573,125,2994.0,19.0,421.0,,,,,570.0,39.900000000000006,4210.0,294.70000000000005,0.0,0,6800.0,340.0,6460.0,,11574.599999999999,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-01-30 00:00:00,6 เดือน,,,
C,6,3025,Studio,70,2486,81,2893.0,11.0,407.0,,,,,330.0,23.1,4070.0,284.90000000000003,0.0,0,6800.0,340.0,6460.0,,11168.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-01-30 00:00:00,6 เดือน,,,
C,7,3034,Studio,72,2627,75,2876.0,3.0,249.0,,,,,90.0,6.300000000000001,2490.0,174.3,0.0,0,6800.0,340.0,6460.0,,9220.6,,,,,,,,,,,,,,,,,,,,,,13260.0,2569-02-01 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,111.0,3976.0,,,0.0,0.0,3330.0,233.10000000000002,39760.0,2783.2000000000003,0.0,0,74800.0,3740.0,71060.0,,117166.29999999999,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,145860.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,,,หักภาษี ณ ที่จ่าย 5%,,3740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน พ.ค 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,117166.29999999999,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,117166.29999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,0,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
