Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ.1,ค่าไฟ,Vat7% ค่าไฟ.1,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3035,Suite,119,5056.0,126,5703.0,7,647.0,0.0,0,0.0,0.0,210.0,14.700000000000001,5176.0,362.32000000000005,12000.0,600.0,11400.0,,17163.02,M Estate 1983859190,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,23400.0,2568-03-12 00:00:00,,,,
W,2,4064,Studio,23,933.0,28,1092.0,5,159.0,0.0,0,0.0,0.0,150.0,10.500000000000002,1272.0,89.04,6000.0,300.0,5700.0,,7221.54,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,11700.0,2568-11-25 00:00:00,,,,
W,3,4080,Studio,46,2471.0,47,2614.0,1,143.0,,,,,30.0,2.1,1144.0,80.08000000000001,6000.0,300.0,5700.0,,6956.18,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,11700.0,2568-07-24 00:00:00,,,,
W,4,4087,Studio,134,3073.0,144,3458.0,10,385.0,,,,,300.0,21.000000000000004,3080.0,215.60000000000002,6000.0,300.0,5700.0,,9316.6,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,11700.0,2568-07-11 00:00:00,,,,
N,5,5001,Studio IN 18/4/69,7,268.0,9,317.0,2,49.0,,,,,60.0,4.2,392.0,27.44,2600.0,130.0,2470.0,,2953.64,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,11700.0,2569-04-18 00:00:00,,,,
N,6,5002,Studio IN 18/4/69,7,392.0,7,418.0,0,26.0,,,,,0.0,0.0,208.0,14.560000000000002,2600.0,130.0,2470.0,,2692.56,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,11700.0,2569-04-18 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,25,1409.0,,,0.0,0.0,750.0,52.500000000000014,11272.0,789.0400000000002,35200.0,1760.0,33440.0,,46303.54,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,81900.0,,,,,
,,,,,,,,,,,รวม,0.0,,,,,หักภาษี ณ ที่จ่าย 5%,,1760.0,,,,,,หักภาษี ณ ที่จ่าย 5%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ค่าเช่า เดือน พ.ค 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
