Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน พ.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,1,2024,Studio บ.ชำระค่าเช่า ,0,0,0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0,6800.0,340.0,6460,,6460.0,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,10000.0,2568-11-23 00:00:00,6 เดือน,,,
S,,2024,Studio ผู้เช่า ชำระ น้ำ-ไฟ,51,2390,54,2684.0,3.0,294.0,,,,,90.0,6.300000000000001,2352.0,164.64000000000001,,0,0.0,0.0,0,,2612.94,,,,,,,,,,,,,,,,,,,,,,0.0,2568-11-23 00:00:00,6 เดือน,,,
S,2,2028,Studio,77,4894,81,5401.0,4.0,507.0,,,0.0,0.0,120.0,8.4,4056.0,283.92,699.0,48.93000000000001,6800.0,340.0,6460,,11676.25,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-08-31 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,7.0,801.0,,,0.0,0.0,210.0,14.700000000000001,6408.0,448.56000000000006,699.0,48.93000000000001,13600.0,680.0,12920,,20749.190000000002,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,23260.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,,,หักภาษี ณ ที่จ่าย 5%,,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ ค่าไฟ ห้อง2024 (พนักงานชำระเอง),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,2612.94,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,2612.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
