Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ ส.ค,ยูนิตไฟ ส.ค,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ค 2569 (บาท),ค่าทำความสะอาด,ค่าปรับกล่องดักไขมัน,ค่าปรับกุญแจ หาย,จำนวนเงิน (บาท),วันที่ย้ายออก,วันเข้าพัก,สถานะ,ยอดเงินคงเหลือ
E,1,1021,Suite,151,4475,155,4653.0,4.0,178,-,-,-,-,120.0,8.4,1424.0,99.68,9000.0,-,-,,10652.08,เช่าต่อเนื่อง,2568-03-18 00:00:00,ยังเช่าอยู่,
W,2,4034,Studio,37,2520,40,3040.0,3.0,520,,,,,90.0,6.300000000000001,4160.0,291.20000000000005,4500.0,,,,9047.5,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,3,4035,Studio,37,2289,41,2575.0,4.0,286,-,-,-,-,120.0,8.4,2288.0,160.16000000000003,4500.0,-,-,,7076.5599999999995,เช่าต่อเนื่อง,2568-03-05 00:00:00,ยังเช่าอยู่,
W,4,4036,Studio,30,1009,39,1337.0,9.0,328,,,,,270.0,18.900000000000002,2624.0,183.68,4500.0,,,,7596.58,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,5,4037,Studio,25,1277,29,1602.0,4.0,325,,,,,120.0,8.4,2600.0,182.00000000000003,4500.0,,,,7410.4,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,6,4038,Studio,39,1842,43,2137.0,4.0,295,,,,,120.0,8.4,2360.0,165.20000000000002,4500.0,,,,7153.599999999999,เช่าต่อเนื่อง,2568-09-26 00:00:00,ยังเช่าอยู่,
W,7,4039,Studio,42,2361,48,2763.0,6.0,402,,,,,180.0,12.600000000000001,3216.0,225.12000000000003,4500.0,,,,8133.72,เช่าต่อเนื่อง,2568-10-04 00:00:00,ยังเช่าอยู่,
W,8,4063,Studio,47,3162,50,3389.0,3.0,227,-,-,-,-,90.0,6.300000000000001,1816.0,127.12000000000002,4500.0,-,-,,6539.42,เช่าต่อเนื่อง,2568-03-09 00:00:00,ยังเช่าอยู่,
,,,,,,ยูนิตน้ำ+ไฟ,,37.0,2561,,,0,0,1110.0,77.7,20488.0,1434.1600000000003,40500.0,0,0,0.0,63609.86,,,,
,,,,,,,,,,,,รวม,,63609.86,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือยกมาจาก เม.ย 69,,5096499.0200000005,,,,,,,,,,,,,,,,,,,,,
,,,ค่าใช้จ่าย พฤษภาคม,,63609.86,,,,ยกคงเหลือมาจาก เม.ย แล้ว,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือ =,,5032889.16,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,สัญญาระบุการจ่ายเงิน,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,8,,,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,,40500,บาท,,,,,,,,,,,,,,,,,,,,,
,Vat7%,,,1511.8600000000004,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,37,1110,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,2561,20488,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,รวม,,,63609.86,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ยอดเงินคงเหลือ,,,5032889.16,,,,,,,,,,,,,,,,,,,,,,
