Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,ยอดเงินยกมาจากเดือน ธ.ค 2567 ,Unnamed: 18,Unnamed: 19,247630.4,ยอดเงินโอนข้ามเดือน,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,ยอดเงินโอนออกยกมาจากเดือน ธ.ค 2567 ,Unnamed: 35,Unnamed: 36,Unnamed: 37,0,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
No.มีผู้เช่า,Zone,No.,,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มกราคม 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ม.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.พ,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,อื่นๆ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),เงินโอนคืนผู้เช่าย้ายออก (ก.พ),วันที่คืนเงินย้ายออก (ก.พ),เงินโอนคืนผู้เช่าย้ายออก (มี.ค),วันที่คืนเงินย้ายออก (มี.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
1,ร้านอาหาร,,,,,0,9999,75,9036,75,963,-,-,-,-,2250,7704,0,0,0,2/2/2568,9954,บจก เอ็มเอสเทท 5919x,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,36000,23/12/2567,,,ชำระแล้ว,
2,E,1,,1001,Suite,1,4,3,49,2,45,3/1/2568,บช k.ณรงค์ 3912,"5,000",0,60,360,0,0,0,2568-02-05 00:00:00,420,บจก เอ็มเอสเทท 5919x,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,-,5000,,2 เดือน,,ชำระแล้ว,
,E,2,,1002,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,3,,1003,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,4,,1004,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,E,5,,1005,Suite,-,-,-,-,-,-,4/1/2568,บช k.ณรงค์ 3912,"6,800","6,800",0,0,0,0,0,0,0,0,6800,6800,400,0,30,256,2,12,3,44,1,32,,7486,6114,24/1/2568,,,,,22/1/2568,บช k.ณรงค์ 3912,0,4/1/2568,-,-,ย้ายออก,
4,E,6,,1006,Suite,1,1,7,126,6,125,9/1/2568,บช k.ณรงค์ 3912,"13,600","13,600",180,1000,"11,406.45",0,0,2/2/2568,12586.45,บช k.ณรงค์ 3912,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,27200,9/1/2568,,,ชำระแล้ว,
,E,7,,1007,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,8,,1008,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,9,,1009,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,E,10,,1010,Suite,-,-,-,-,-,-,4/1/2568,บช k.ณรงค์ 3912,"13,600","13,600",0,0,0,0,0,0,0,0,"13,600","13,600",500,0,150,1400,4,1,9,176,5,175,,15650,11550,25/1/2568,0,0,,,25/1/2568,บช k.ณรงค์ 3912,0,4/1/2568,,,ย้ายออก,
6,E,11,,1011,Suite,1,0,7,129,6,129,4/1/2568,บช k.ณรงค์ 3912,"13,600","13,600",180,1032,"12,283.87",0,0,4/2/2568,13495.87,บช k.ณรงค์ 3912,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,27200,4/1/2568,,,ชำระแล้ว,
