Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มกราคม 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ม.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.พ,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,1,2001,Studio,7,158,9,238.0,2.0,80.0,-,-,-,-,60,640.0,4500.0,,,2568-02-13 00:00:00,5200.0,M ESTATE  1788921183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,2,2002,Studio,13,260,19,396.0,6.0,136.0,-,-,-,-,180,1088.0,4500.0,-,-,,5768.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,3,2003,Studio,10,98,13,143.0,3.0,45.0,-,-,-,-,90,360.0,4500.0,-,-,,4950.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,4,2004,Studio,18,202,27,300.0,9.0,98.0,-,-,-,-,270,784.0,4500.0,-,-,,5554.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,5,2005,Studio,4,124,10,234.0,6.0,110.0,-,-,-,-,180,880.0,4500.0,-,-,,5560.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,6,2006,Studio,59,121,82,218.0,23.0,97.0,-,-,-,-,690,776.0,4500.0,-,-,,5966.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,7,2007,Studio,8,187,12,272.0,4.0,85.0,-,-,-,-,120,680.0,4500.0,-,-,,5300.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,8,2008,Studio,8,132,13,168.0,5.0,36.0,-,-,-,-,150,288.0,4500.0,-,-,,4938.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,9,2009,Studio,6,140,12,240.0,6.0,100.0,-,-,-,-,180,800.0,4500.0,-,-,,5480.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,10,2010,Studio,3,26,4,58.0,1.0,32.0,-,-,-,-,30,256.0,4500.0,-,-,,4786.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,11,2011,Studio,7,37,12,110.0,5.0,73.0,-,-,-,-,150,584.0,4500.0,-,-,,5234.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,12,2012,Studio,5,72,9,163.0,4.0,91.0,-,-,-,-,120,728.0,4500.0,-,-,,5348.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,13,2013,Studio,4,26,9,154.0,5.0,128.0,-,-,-,-,150,1024.0,4500.0,-,-,,5674.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,14,2014,Studio,126,21,136,116.0,10.0,95.0,-,-,-,-,300,760.0,4500.0,-,-,,5560.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
