Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่า internet,ค่าห้องเดือน ต.ค 2568 (บาท),ภาษี ณ.ที่จ่าย 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 23,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3042,Studio,24,2467,30,2736,6.0,269.0,,,0.0,0.0,180.0,2690.0,,6800.0,340.0,6460.0,2568-11-09 00:00:00,9330,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13260.0,2568-09-20 00:00:00,6 เดือน,,,
W,2,4004,Studio,29,1412,31,1460,2.0,48.0,27/10/2568,M Estate 1983859190,6800.0,6460.0,60.0,480.0,,4825.81,241.29050000000004,4584.5195,,5124.5195,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-10-10 00:00:00,6 เดือน,,,
W,3,4005,Studio,28,1308,31,1403,3.0,95.0,27/10/2568,M Estate 1983859190,6800.0,6460.0,90.0,950.0,,4606.45,230.3225,4376.1275,,5416.1275,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-10-11 00:00:00,6 เดือน,,,
W,4,4008,Studio,34,1356,35,1380,1.0,24.0,27/10/2568,M Estate 1983859190,6800.0,6460.0,30.0,240.0,,2412.9,120.64500000000001,2292.255,,2562.255,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-10-21 00:00:00,6 เดือน,,,
W,5,4128,Studio,3,39,15,301,12.0,262.0,,,,,360.0,2620.0,,6800.0,340.0,6460.0,,9440,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-09-21 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,24.0,698.0,,,20400.0,19380.0,720.0,6980.0,0,25445.160000000003,1272.258,24172.902000000002,,31872.902000000002,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,66300.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,39780.0,,,,หักภาษี ณ ที่จ่าย 5%,,1272.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ประกัน + ล่วงหน้า 4004 เข้าพัก 10/10/68 , 4005 เข้าพัก 11/10/68 , 4008 เข้าพัก 21/10/2568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,39780,,M Estate 1983859190,,2568-10-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
