Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ ส.ค,ยูนิตไฟ ส.ค,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ต.ค 2568 (บาท),ค่าทำความสะอาด,ค่าปรับกล่องดักไขมัน,ค่าปรับกุญแจ หาย,จำนวนเงิน (บาท),วันที่ย้ายออก,วันเข้าพัก,สถานะ,ยอดเงินคงเหลือ
E,1,1021,Suite,101,2670,109,3002.0,8.0,332.0,-,-,-,-,240.0,2656.0,9000.0,-,-,,11896.0,เช่าต่อเนื่อง,2568-03-18 00:00:00,ยังเช่าอยู่,
W,2,4034,Studio,15,609,19,798.0,4.0,189.0,,,,,120.0,1512.0,4500.0,,,,6132.0,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,3,4035,Studio,17,1248,21,1488.0,4.0,240.0,-,-,-,-,120.0,1920.0,4500.0,-,-,,6540.0,เช่าต่อเนื่อง,2568-03-05 00:00:00,ยังเช่าอยู่,
W,4,4036,Studio,9,365,13,609.0,4.0,244.0,,,,,120.0,1952.0,4500.0,,,,6572.0,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,5,4037,Studio,10,485,14,648.0,4.0,163.0,,,,,120.0,1304.0,4500.0,,,,5924.0,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,6,4038,Studio,14,401,18,601.0,4.0,200.0,,,,,120.0,1600.0,4500.0,,,,6220.0,เช่าต่อเนื่อง,2568-09-26 00:00:00,ยังเช่าอยู่,
W,7,4039,Studio,21,851,23,999.0,2.0,148.0,,,,,60.0,1184.0,4064.52,,,,5308.52,เช่าต่อเนื่อง,2568-10-04 00:00:00,ยังเช่าอยู่,
W,8,4063,Studio,28,1738,32,1985.0,4.0,247.0,-,-,-,-,120.0,1976.0,4500.0,-,-,,6596.0,เช่าต่อเนื่อง,2568-03-09 00:00:00,ยังเช่าอยู่,
,,,,,,ยูนิตน้ำ+ไฟ,,34.0,1763.0,,,0,0,1020.0,14104.0,40064.52,0,0,0.0,55188.520000000004,,,,
,,,,,,,,,,,,รวม,,55188.52,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือยกมาจาก ก.ย 68,,5498272.1,,,,,,,,,,,,,,,,,,,
,,,ค่าใช้จ่าย ต.ค,,55188.52,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือ =,,5443083.58,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,สัญญาระบุการจ่ายเงิน,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,8,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,,40064.52,บาท,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,34,1020,บาท,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,1763,14104,บาท,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,
,รวม,,,55188.52,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,ยอดเงินคงเหลือ,,,5443083.58,,,,,,,,,,,,,,,,,,,,
