Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า ต.ค,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ต.ค 2568 (บาท),ภาษี ณ.ที่จ่าย 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,4054,Studio,35,1320.0,42,1585,7.0,265,-,-,-,-,210.0,2120,5500.0,275.0,5225,22/10/2568,7555.0,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,2,4055,Studio,15,1099.0,19,1356,4.0,257,,-,-,-,120.0,2056,5500.0,275.0,5225,,7401.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,3,4056,Studio,22,1153.0,26,1330,4.0,177,,-,-,-,120.0,1416,5500.0,275.0,5225,,6761.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,4,4092,Studio,22,807.0,23,820,1.0,13,26/9/2568,M Estate 1983859190,5500,5225,30.0,104,2200.0,110.0,2090,,2224.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,5,4093,Studio,19,978.0,26,1181,7.0,203,,,,,210.0,1624,5500.0,275.0,5225,,7059.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,6,4094,Studio,11,243.0,12,273,1.0,30,,,,,30.0,240,5500.0,275.0,5225,,5495.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,7,4095,Studio,13,1205.0,17,1332,4.0,127,,,,,120.0,1016,5500.0,275.0,5225,,6361.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,8,4115,Studio,13,941.0,13,944,0.0,3,26/9/2568,M Estate 1983859190,5500,5225,0.0,24,2200.0,110.0,2090,,2114.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,9,4116,Studio,7,262.0,10,370,3.0,108,,,,,90.0,864,5500.0,275.0,5225,,6179.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-14 00:00:00,1 ปี,2569-08-14 00:00:00,,
W,10,4117,Studio,3,222.0,5,283,2.0,61,,,,,60.0,488,5500.0,275.0,5225,,5773.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
W,11,4118,Studio,5,181.0,8,271,3.0,90,,,,,90.0,720,5500.0,275.0,5225,,6035.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
,,,,,,ยูนิตน้ำ+ไฟ,,36.0,1334,,,11000,10450,1080.0,10672,53900.0,2695.0,51205,,62957.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,60500.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,21450,,,หักภาษี ณ ที่จ่าย 5%,,2695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,คิน,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ค่าเช่า เดือน ตุลาคม 2568,,,,,,ประกัน + ล่วงหน้า 4092 4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
