Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าน้ำ.1,ค่าห้องเดือน ต.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ต.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก .1,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,1,4041,Studio,16,1350,18,1527,2.0,177.0,-,-,-,-,60,4.2,1416,99.12,6800.0,,,,8379.32,M Estate 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,2,4042,Studio,20,1493,21,1571,1.0,78.0,-,-,-,-,30,2.1,624,43.68000000000001,6800.0,-,-,,7499.78,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,3,4043,Studio,22,1342,22,1343,0.0,1.0,-,-,-,-,0,0.0,8,0.56,6800.0,-,-,,6808.56,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,4,4044,Studio,26,1349,27,1370,1.0,21.0,-,-,-,-,30,2.1,168,11.760000000000002,6800.0,-,-,,7011.86,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,5,4045,Studio,18,2228,21,2578,3.0,350.0,-,-,-,-,90,6.300000000000001,2800,196.00000000000003,6800.0,-,-,,9892.3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,6,4046,Studio,12,1957,13,2116,1.0,159.0,-,-,-,-,30,2.1,1272,89.04,6800.0,-,-,,8193.14,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,7,4047,Studio,28,1110,30,1306,2.0,196.0,-,-,-,-,60,4.2,1568,109.76,6800.0,-,-,,8541.96,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,8,4048,Studio,24,1476,34,1688,10.0,212.0,-,-,-,-,300,21.000000000000004,1696,118.72000000000001,6800.0,-,-,,8935.72,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,9,4049,Studio,15,2521,19,2791,4.0,270.0,-,-,-,-,120,8.4,2160,151.20000000000002,6800.0,-,-,,9239.6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,10,4050,Studio,17,2225,19,2418,2.0,193.0,-,-,-,-,60,4.2,1544,108.08000000000001,6800.0,-,-,,8516.28,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,11,4132,Studio,12,916,12,916,0.0,0.0,,,0,0,0,0.0,0,0.0,6800.0,-,-,,6800.0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13260.0,2568-04-18 00:00:00,6 เดือน,2568-10-31 00:00:00,,
C,12,3012,Studio,25,1596,27,1684,2.0,88.0,,,0,0,60,4.2,704,49.28,6800.0,-,-,,7617.48,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13260.0,2568-04-18 00:00:00,6 เดือน,2568-10-31 00:00:00,,
,,,,,,ยูนิตน้ำ+ไฟ,,28.0,1745.0,-,-,0,0,840,58.800000000000004,13960,977.2000000000002,81600.0,0,0,,97436.0,,,,0,0,0,0,0,,,,,0,0,0,0,,,,,,162520.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0,,,,หักภาษี ณ ที่จ่าย 5%,,4080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ค่าเช่า เดือน ตุลาคม,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,77520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,2568-11-19 00:00:00,,,,,,,ค่าน้ำ ค่าไฟ รวม,,,,14800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,93356,,,,,,,,,Vat7% =,,,,1036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0,,,,,,,,,ค่าใช้จ่ายรวม,,,,93356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,93356,,,,,คินวอง ข้อมูลตรงกับ Horganice เดือน ตุลาคม 2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่าเดือน ต.ค 2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,รายได้ค่าเช่า,,77520,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,28,840,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,1745,13960,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vat7%,,,1036,บาท,,** ไชน่าสเตท เดือน ตุลาคม มี Vat7%  เนื่องจากชำระค่าเช่าหลังจากจด Vat จด 18/11/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
