Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ต.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ต.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2021,Studio,66,1611,71,1805,5.0,194.0,-,-,-,-,150,1552.0,6800,,,,8502.0,M Estate 1983859190,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
S,2,2022,Studio,37,1485,47,1849,10.0,364.0,-,-,-,-,300,2912.0,6800,-,-,,10012.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-20 00:00:00,6 เดือน,,,
S,3,2025,Studio,41,2579,43,2956,2.0,377.0,,,,,60,3016.0,6800,,,,9876.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-15 00:00:00,6 เดือน,,,
S,4,2026,Studio,49,2849,57,3151,8.0,302.0,-,-,-,-,240,2416.0,6800,-,-,,9456.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,5,2027,Studio,53,2476,58,2746,5.0,270.0,-,-,-,-,150,2160.0,6800,-,-,,9110.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,6,2028,Studio,51,3098,57,3483,6.0,385.0,-,-,-,-,180,3080.0,6800,-,-,,10060.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,7,2049,Studio,56,2863,66,3340,10.0,477.0,-,-,-,-,300,3816.0,6800,-,-,,10916.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,8,2050,Studio,57,2492,61,2737,4.0,245.0,-,-,-,-,120,1960.0,6800,-,-,,8880.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,9,2051,Studio,18,2236,18,2621,0.0,385.0,-,-,-,-,0,3080.0,6800,-,-,,9880.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,10,2052,Studio,94,2478,94,2491,0.0,13.0,-,-,-,-,0,104.0,6800,-,-,,6904.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,11,2053,Studio,73,2025,97,2219,24.0,194.0,-,-,-,-,720,1552.0,6800,-,-,,9072.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,12,2054,Studio,38,1513,44,1675,6.0,162.0,-,-,-,-,180,1296.0,6800,-,-,,8276.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,13,2055,Studio,44,1800,47,1930,3.0,130.0,-,-,-,-,90,1040.0,6800,-,-,,7930.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,14,2056,Studio,39,1807,46,2118,7.0,311.0,-,-,-,-,210,2488.0,6800,-,-,,9498.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,15,2057,Studio,61,2030,67,2266,6.0,236.0,-,-,-,-,180,1888.0,6800,-,-,,8868.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,16,2058,Studio,87,2974,94,3522,7.0,548.0,-,-,-,-,210,4384.0,6800,-,-,,11394.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
