Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่า internet,ค่าห้องเดือน ต.ค 2568 (บาท),ภาษี ณ.ที่จ่าย 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 23,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก.1,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1028,Suite,44,1354,52,1694,8,340,,,,,240,2720.0,699,9000.0,450.0,8550.0,2568-11-05 00:00:00,12209.0,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,17550.0,2568-06-01 00:00:00,ต่อเนื่อง,,,
E,2,1029,Suite,43,1877,51,2321,8,444,,,,,240,3552.0,0,5500.0,275.0,5225.0,,9017.0,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,17550.0,2568-07-01 00:00:00,ต่อเนื่อง,,,
,,,,,,ยูนิตน้ำ+ไฟ,,16,784,,,0,0,480,6272.0,699,14500.0,725.0,13775.0,,21226.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,35100.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0,,,,หักภาษี ณ ที่จ่าย 5%,,725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone,No.,Room No.,Room Type,วันที่โอนประกัน router,หมายเหตุ (บช.โอนเข้า),,ค่าประกัน,วันที่เริ่มใช้งาน,ค่าอินเทอร์เนท,,,วันที่โอนคืน,บช.โอนคืน,ประกันคงเหลือ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1,1028,Suite,5/6/2568,M Estate 1983859190,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,รวม,,0,,,,,,รวม,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ค่าเช่า เดือน ตุลาคม ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,0,,,,,ยอดเข้า,21226,,2568-11-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0,,,,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,0,,,,,=,21226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,ค่าเช่า ต.ค,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนห้องเช่า,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,14500,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า หลังหัก 5%,,,13775,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าน้ำ,,16,480,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ,,784,6272,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ค่า Internet,,1,699,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รวม,,,21226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค้างชำระรวม,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
