Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ย 2568 (บาท),หัก 5%,ค่าเช่าหลัง หัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,4007,Studio,28,1551,31,1640,3.0,89.0,10/11/2568,M Estate 1983859190,6800.0,6460.0,90.0,6.300000000000001,890.0,62.300000000000004,5213.33,260.6665,4952.6635,2568-12-03 00:00:00,6001.263499999999,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-08 00:00:00,6 เดือน,,,
W,2,4022,Studio,19,1915,22,2226,3.0,311.0,,,0.0,0.0,90.0,6.300000000000001,3110.0,217.70000000000002,6800.0,340.0,6460.0,,9884,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-05-17 00:00:00,6 เดือน,,,
W,3,4023,Studio,23,2255,26,2572,3.0,317.0,,,0.0,0.0,90.0,6.300000000000001,3170.0,221.90000000000003,6800.0,340.0,6460.0,,9948.2,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-05-22 00:00:00,6 เดือน,,,
W,4,4024,Studio,8,480,11,561,3.0,81.0,,,,,90.0,6.300000000000001,810.0,56.7,6800.0,340.0,6460.0,,7423,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-22 00:00:00,6 เดือน,,,
W,5,4025,Studio,14,955,17,1170,3.0,215.0,,,,,90.0,6.300000000000001,2150.0,150.50000000000003,6800.0,340.0,6460.0,,8856.8,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-22 00:00:00,6 เดือน,,,
W,6,4026,Studio,19,1238,22,1423,3.0,185.0,,,,,90.0,6.300000000000001,1850.0,129.5,6800.0,340.0,6460.0,,8535.8,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-07-01 00:00:00,6 เดือน,,,
W,7,4129,Studio,31,1228,36,1433,5.0,205.0,,,,,150.0,10.500000000000002,2050.0,143.5,6800.0,340.0,6460.0,,8814,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-01 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,23.0,1403.0,,,6800.0,6460.0,690.0,48.300000000000004,14030.0,982.1,46013.33,2300.6665000000003,43712.663499999995,,59463.063500000004,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,94520.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,13260.0,,,,,หักภาษี ณ ที่จ่าย 5%,,2300.6665000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ประกัน + ล่วงหน้า ห้อง4007 เข้าพัก 8/11/2568,,,2568-11-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,13260,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,13260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน พฤศจิกายน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,59463.0635,,M Estate 1983859190,,2568-12-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,59463.0635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
