Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน พ.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน พ.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ธ.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าเช่ารายวัน,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,ค่า internet.1,Vat7% ค่า internet,ค่าน้ำ,Vat7% ค่าน้ำ.1,ค่าไฟ,Vat7% ค่าไฟ.1,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,4051,Studio OUT,0,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-,-,,0,,,6800,6460.0,1535.48,300.0,21.000000000000004,,862.1,60.34700000000001,30.0,2.1,1060.0,74.2,29.0,2440.0,30.0,2546.0,1.0,106,10405.227,2854.7729999999992,2568-12-07 00:00:00,2568-12-07 00:00:00,k.ณรงค์ 0581083912,0.0,2568-08-09 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,0,,,6800,6460.0,1535.48,300.0,21.000000000000004,0.0,862.1,60.34700000000001,30.0,2.1,1060.0,74.2,,,,,1.0,106,10405.227,2854.7729999999992,,,,0.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,,หักภาษี ณ ที่จ่าย 5%,,0.0,,,,,,,หักภาษี ณ ที่จ่าย 5%,,76.774,,,,,,,,,,,,,,,คืนหักภาษี ณ ที่จ่าย 5%,,76.774,,,,,,,,,
,,,,,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,คืน 4051 ย้ายออก 7/12/2568,,,,,,,,,,,,,,,,,,,,,,,,,** 4051 ย้ายออก + คืนประกัน router  7/12/2568,,,,,,,,,,,,,,,,,สรุปยอดคืนผู้เช่า,,2777.9989999999993,,,,,,,,,
,,ยอดเข้า,0,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,** หักภาษี ณ.ที่จ่าย 5% ส่วนต่างค่าเช่ารายวัน 76.77 โอนคืนลูกค้า วันที่ 8/1/2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,2854.7729999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,2854.7729999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,คืนประกัน router 4051 คืน 7/12/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
