Zone,No.,ชื่อร้าน,Unnamed: 3,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้อง,วันที่จ่าย,จำนวนเงิน (บาท),วันที่จ่าย ข้ามไปเดือน ธ.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 21,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
ด้านหน้าโครงการ,1,ร้านน้ำอู้ฟู่ชา,,128,917,139,976,11.0,59,,330.0,23.1,472.0,33.040000000000006,0.0,2568-10-31 00:00:00,858.14,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
ด้านหน้าโครงการ,2,ร้านอาหารตามสั่ง,,0,546,0,615,0.0,,69.0,0.0,0.0,690.0,48.300000000000004,0.0,,738.3,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
E,3,1031 ใช้เข้าห้องน้ำ,,33,564,36,567,3.0,3,,90.0,6.300000000000001,24.0,1.6800000000000002,0.0,,121.98,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,14.0,62,69.0,420.0,29.400000000000002,1186.0,83.02000000000001,0.0,,1718.42,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,
,,,,,,,,,,,1718.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,0.0,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,1718.42,,M Estate 1983859190,,2568-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,1718.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
