Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน พ.ย 2568 (บาท),หัก 5%,ค่าเช่าหลัง หัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3005,Suite,11,919,23,1326,12.0,407.0,,,,,360,25.200000000000003,4070.0,284.90000000000003,0.0,0,12000.0,600.0,11400.0,2568-12-04 00:00:00,16140.099999999999,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,23400.0,2568-10-30 00:00:00,6 เดือน,,,
C,2,3008,Studio,32,1605,36,1763,4.0,158.0,,,,,120,8.4,1580.0,110.60000000000001,605.8,42.406,6800.0,340.0,6460.0,,8927.206,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-10-22 00:00:00,6 เดือน,,,
C,3,3016,Suite,42,1411,46,1583,4.0,172.0,1/11/2568,M Estate 1983859190,12000.0,11400.0,120,8.4,1720.0,120.4,,0,12000.0,600.0,11400.0,,13368.8,,,,,,,,,,,,,,,,,,,,,,23400.0,2568-11-01 00:00:00,,,,
C,4,3033,Studio,46,1748,56,2037,10.0,289.0,,,,,300,21.000000000000004,2890.0,202.3,699.0,48.93000000000001,6800.0,340.0,6460.0,,12121.23,,,,,,1500.0,,,,,,,,,,,,,,,,13260.0,2568-09-10 00:00:00,6 เดือน,,,
C,5,3034,Studio,50,1795,50,1805,0.0,10.0,14/11/2568,M Estate 1983859190,6800.0,6460.0,0,0.0,100.0,7.000000000000001,,0,4080.0,204.0,3876.0,,3983,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-13 00:00:00,,,,
W,6,4113,Studio,10,690,10,734,0.0,44.0,,,,,0,0.0,440.0,30.800000000000004,,0,5440.0,272.0,5168.0,,5638.8,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-07 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,30.0,1080.0,,,18800.0,17860.0,900,63.0,10800.0,756.0,1304.8,91.33600000000001,47120.0,2356.0,44764.0,,60179.136,,,,0.0,0.0,1500.0,0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,99840.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,36660.0,,,,,,,หักภาษี ณ ที่จ่าย 5%,,2356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่าเดือน พฤศจิกายน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,60179.136,,M Estate 1983859190,,2568-12-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,60179.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ประกัน+ล่วงหน้า 3016 เข้าพัก 1/11/68,,,,,,,,,ประกัน+ล่วงหน้า ห้อง3034 เข้าพัก 13/11/2568,,,2568-11-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,23400,,M Estate 1983859190,,2568-11-01 00:00:00,,,,ยอดเข้า,13260.0,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,ยอดออก,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,23400,,,,,,,,=,13260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่าเดือน พ.ย 68,,,,,,,,,,,,,,ประกัน+ล่วงหน้า 3016 เข้าพัก 1/11/68,,,,,,,ประกัน+ล่วงหน้า 3034 เข้าพัก 13/11/68,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนห้องเช่า,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า,,,47120,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า หลัก หัก 5%,,,44764,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vat7%,,,910.336,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าน้ำ,,30,900,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ,,1080,10800,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
