Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ ส.ค,ยูนิตไฟ ส.ค,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ย 2568 (บาท),ค่าทำความสะอาด,ค่าปรับกล่องดักไขมัน,ค่าปรับกุญแจ หาย,จำนวนเงิน (บาท),วันที่ย้ายออก,วันเข้าพัก,สถานะ,ยอดเงินคงเหลือ
E,1,1021,Suite,109,3002,120,3359.0,11.0,357.0,-,-,-,-,330.0,23.1,2856.0,199.92000000000002,9000.0,-,-,,12409.02,เช่าต่อเนื่อง,2568-03-18 00:00:00,ยังเช่าอยู่,
W,2,4034,Studio,19,798,22,1082.0,3.0,284.0,,,,,90.0,6.300000000000001,2272.0,159.04000000000002,4500.0,,,,7027.34,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,3,4035,Studio,21,1488,25,1697.0,4.0,209.0,-,-,-,-,120.0,8.4,1672.0,117.04,4500.0,-,-,,6417.4400000000005,เช่าต่อเนื่อง,2568-03-05 00:00:00,ยังเช่าอยู่,
W,4,4036,Studio,13,609,14,690.0,1.0,81.0,,,,,30.0,2.1,648.0,45.36000000000001,4500.0,,,,5225.46,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,5,4037,Studio,14,648,14,706.0,0.0,58.0,,,,,0.0,0.0,464.0,32.480000000000004,4500.0,,,,4996.48,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,6,4038,Studio,18,601,23,900.0,5.0,299.0,,,,,150.0,10.500000000000002,2392.0,167.44000000000003,4500.0,,,,7219.9400000000005,เช่าต่อเนื่อง,2568-09-26 00:00:00,ยังเช่าอยู่,
W,7,4039,Studio,23,999,27,1265.0,4.0,266.0,,,,,120.0,8.4,2128.0,148.96,4500.0,,,,6905.360000000001,เช่าต่อเนื่อง,2568-10-04 00:00:00,ยังเช่าอยู่,
W,8,4063,Studio,32,1985,36,2255.0,4.0,270.0,-,-,-,-,120.0,8.4,2160.0,151.20000000000002,4500.0,-,-,,6939.6,เช่าต่อเนื่อง,2568-03-09 00:00:00,ยังเช่าอยู่,
,,,,,,ยูนิตน้ำ+ไฟ,,32.0,1824.0,,,0,0,960.0,67.2,14592.0,1021.4400000000002,40500.0,0,0,0.0,57140.64000000001,,,,
,,,,,,,,,,,,รวม,,57140.64,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือยกมาจาก ต.ค 68,,5443083.58,,,,,,,,,,,,,,,,,,,,,
,,,ค่าใช้จ่าย ต.ค,,57140.64,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือ =,,5385942.94,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,สัญญาระบุการจ่ายเงิน,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,8,,,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,,40500,บาท,,,,,,,,,,,,,,,,,,,,,
,Vat7%,,,1088.64,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,32,960,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,1824,14592,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,รวม,,,57140.64,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ยอดเงินคงเหลือ,,,5385942.94,,,,,,,,,,,,,,,,,,,,,,
