Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า ธ.ค,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน พ.ย 2568 (บาท),หัก 5%,ค่าเช่าหลัง หัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3004,Studio,26,1508.0,26,1508,0.0,0,24/11/2568,M Estate 1983859190,5500,5225,0.0,0,0.0,,0,4/11/2568,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-11-14 00:00:00,1 ปี,,,
W,2,4054,Studio,42,1585.0,49,1914,7.0,329,-,-,,-,210.0,2632,5500.0,275.0,5225,,8067.0,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,3,4055,Studio,19,1356.0,22,1624,3.0,268,,-,-,-,90.0,2144,5500.0,275.0,5225,,7459.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,4,4056,Studio,26,1330.0,30,1520,4.0,190,,-,-,-,120.0,1520,5500.0,275.0,5225,,6865.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,5,4092,Studio,23,820.0,27,918,4.0,98,,,,,120.0,784,5500.0,275.0,5225,,6129.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,6,4093,Studio,26,1181.0,31,1391,5.0,210,,,,,150.0,1680,5500.0,275.0,5225,,7055.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,7,4094,Studio,12,273.0,16,361,4.0,88,,,,,120.0,704,5500.0,275.0,5225,,6049.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,8,4095,Studio,17,1332.0,17,1366,0.0,34,,,,,0.0,272,5500.0,275.0,5225,,5497.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,9,4096,Studio,39,2507.0,39,2507,0.0,0,24/11/2568,M Estate 1983859190,5500,5225,0.0,0,,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-11-10 00:00:00,1 ปี,,,
W,10,4115,Studio,13,944.0,16,1060,3.0,116,,,,,90.0,928,5500.0,275.0,5225,,6243.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,11,4116,Studio,10,370.0,11,413,1.0,43,,,,,30.0,344,5500.0,275.0,5225,,5599.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-14 00:00:00,1 ปี,2569-08-14 00:00:00,,
W,12,4117,Studio,5,283.0,6,304,1.0,21,,,,,30.0,168,5500.0,275.0,5225,,5423.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
W,13,4118,Studio,8,271.0,13,394,5.0,123,,,,,150.0,984,5500.0,275.0,5225,,6359.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
,,,,,,ยูนิตน้ำ+ไฟ,,37.0,1520,,,11000,10450,1110.0,12160,60500.0,3025.0,57475,,70745.0,,,,0.0,0.0,0.0,0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,71500.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,21450,,,หักภาษี ณ ที่จ่าย 5%,,3025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ค่าเช่า เดือน พฤศจิกายน,,,,,,"ประกัน+ล่วงหน้า 4096 เข้าพัก 10พ.ย ,3004 เข้าพัก 14พ.ย",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,70745.0,,2568-11-04 00:00:00,,,ยอดเข้า,21450,,2568-12-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0.0,,,,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,70745.0,,,,,=,21450,,,,,,,ข้อมูลในระบบ Horganice เดือน ตุลาคม 2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,สเตจเม้นท์ค่าเช่า พ.ย 2568,,,,,,,,,"ประกัน + ล่วงหน้า 4096 เข้าพัก 10/11/68 ,3004 เข้าพัก 14/11/68",,,,,,,,,",",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Studio/เดือน (บาท),,,,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนห้องเช่า,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า,,,60500,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า หลัก หัก 5%,,,57475,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าน้ำ,,37,1110,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ,,1520,12160,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รวม,,,70745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค้างชำระรวม,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
