Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน พ.ย 2568 (บาท),เงินรับล่วงหน้า ต.ค 68,หัก 5%,ค่าเช่าหลัง หัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 27,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3013,Studio,70,2109,70,2113,0,4.0,28/10/2568,M Estate 1983859190,6800,6460.0,0,0.0,40,2.8000000000000003,,0.0,1586.67,109.67,79.33350000000002,1507.3365000000001,2568-12-01 00:00:00,1440.4665,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-24 00:00:00,6 เดือน,,,
W,2,4078,Studio,13,642,19,882,6,240.0,,,,,180,12.600000000000001,2400,168.00000000000003,699.0,48.93000000000001,6800,,340.0,6460.0,,9968.529999999999,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-09-29 00:00:00,6 เดือน,,,
W,3,4079,Studio,14,764,21,1040,7,276.0,,,,,210,14.700000000000001,2760,193.20000000000002,0.0,0.0,6800,,340.0,6460.0,,9637.9,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-09-29 00:00:00,6 เดือน,,,
W,4,4082,Studio,14,764,23,1007,9,243.0,6/11/2568,M Estate 1983859190,6800,6460.0,270,18.900000000000002,2430,170.10000000000002,,0.0,5666.67,,283.3335,5383.3365,,8272.336500000001,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-06 00:00:00,6 เดือน,,,
W,5,4083,Studio,7,333,7,725,0,392.0,,,,,0,0.0,3920,274.40000000000003,0.0,0.0,6800,,340.0,6460.0,,10654.4,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-27 00:00:00,6 เดือน,,,
W,6,4084,Studio,10,429,15,604,5,175.0,,,,,150,10.500000000000002,1750,122.50000000000001,0.0,0.0,6800,,340.0,6460.0,,8493,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-10-27 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,27,1330.0,,,13600,12920.0,810,56.7,13300,931.0000000000002,699.0,48.93000000000001,34453.34,109.67,1722.667,32730.673000000003,,48466.633,,,,0.0,0.0,0.0,0.0,0,,,,,0.0,0.0,0.0,0.0,,,,,,67660.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,26520,,,,,,,,หักภาษี ณ ที่จ่าย 5%,,1722.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน พฤศจิกายน,,,,,,,,บริษัท บายมิ่ง (ค่าเช่า พ.ย),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,48466.633,,M Estate 1983859190,,2568-12-01 00:00:00,,,รายละเอียด,,ยอดเงิน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,ค่าใช้จ่าย ห้อง3013 (ค่าเช่า พ.ย 68),,1550.1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
