Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ย 2568 (บาท),หัก 5%,ค่าเช่าหลัง หัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2001,Studio,73,2709,79,2980,6.0,271.0,-,-,-,-,180.0,12.600000000000001,2168.0,151.76000000000002,4500,225.0,4275.0,2568-12-10 00:00:00,6787.360000000001,M Estate 1983859190,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,2,2002,Studio,59,2983,62,3109,3.0,126.0,-,-,-,-,90.0,6.300000000000001,1008.0,70.56,4500,225.0,4275.0,2568-12-10 00:00:00,5449.86,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,3,2003,Studio,49,1903,53,2036,4.0,133.0,-,-,-,-,120.0,8.4,1064.0,74.48,4500,225.0,4275.0,2568-12-10 00:00:00,5541.88,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,4,2004,Studio,108,1464,108,1464,0.0,0.0,-,-,-,-,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,5,2005,Studio,54,2534,61,2699,7.0,165.0,-,-,-,-,210.0,14.700000000000001,1320.0,92.4,4500,225.0,4275.0,2568-12-10 00:00:00,5912.1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,6,2006,Studio,215,1749,220,1864,5.0,115.0,-,-,-,-,150.0,10.500000000000002,920.0,64.4,4500,225.0,4275.0,2568-12-10 00:00:00,5419.9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,7,2007,Studio,64,1760,71,1915,7.0,155.0,-,-,-,-,210.0,14.700000000000001,1240.0,86.80000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5826.5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,8,2008,Studio,41,1092,43,1177,2.0,85.0,-,-,-,-,60.0,4.2,680.0,47.6,4500,225.0,4275.0,2568-12-10 00:00:00,5066.8,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,9,2009,Studio,63,2035,70,2182,7.0,147.0,-,-,-,-,210.0,14.700000000000001,1176.0,82.32000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5758.02,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,10,2010,Studio,54,1505,58,1581,4.0,76.0,-,-,-,-,120.0,8.4,608.0,42.56,4500,225.0,4275.0,2568-12-10 00:00:00,5053.96,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,11,2011,Studio,85,2498,95,2873,10.0,375.0,-,-,-,-,300.0,21.000000000000004,3000.0,210.00000000000003,4500,225.0,4275.0,2568-12-10 00:00:00,7806.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,12,2012,Studio,43,2292,48,2482,5.0,190.0,-,-,-,-,150.0,10.500000000000002,1520.0,106.4,4500,225.0,4275.0,2568-12-10 00:00:00,6061.9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,13,2013,Studio,53,2899,60,3109,7.0,210.0,-,-,-,-,210.0,14.700000000000001,1680.0,117.60000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,6297.3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,14,2014,Studio,313,971,317,1104,4.0,133.0,-,-,-,-,120.0,8.4,1064.0,74.48,4500,225.0,4275.0,2568-12-10 00:00:00,5541.88,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,15,2015,Studio,34,1550,38,1703,4.0,153.0,-,-,-,-,120.0,8.4,1224.0,85.68,4500,225.0,4275.0,2568-12-10 00:00:00,5713.08,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,16,2016,Studio,32,1185,36,1332,4.0,147.0,-,-,-,-,120.0,8.4,1176.0,82.32000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5661.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,17,2017,Studio,52,1484,56,1605,4.0,121.0,-,-,-,-,120.0,8.4,968.0,67.76,4500,225.0,4275.0,2568-12-10 00:00:00,5439.16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,18,2018,Studio,73,2407,81,2615,8.0,208.0,-,-,-,-,240.0,16.8,1664.0,116.48000000000002,4500,225.0,4275.0,2568-12-10 00:00:00,6312.28,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,19,2019,Studio,47,2961,54,3204,7.0,243.0,-,-,-,-,210.0,14.700000000000001,1944.0,136.08,4500,225.0,4275.0,2568-12-10 00:00:00,6579.78,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,68,2061,74,2257,6.0,196.0,-,-,-,-,180.0,12.600000000000001,1568.0,109.76,4500,225.0,4275.0,2568-12-10 00:00:00,6145.36,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
