Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน พ.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ธ.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2021,Studio,71,1805,73,1951,2.0,146.0,-,-,-,-,60,4.2,1168.0,81.76,6800.0,,,,8113.96,M Estate 1983859190,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
S,2,2022,Studio,47,1849,57,2191,10.0,342.0,-,-,-,-,300,21.000000000000004,2736.0,191.52,6800.0,-,-,,10048.52,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-20 00:00:00,6 เดือน,,,
S,3,2025,Studio,43,2956,45,3152,2.0,196.0,,,,,60,4.2,1568.0,109.76,6800.0,,,,8541.96,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-15 00:00:00,6 เดือน,,,
S,4,2026,Studio,57,3151,62,3371,5.0,220.0,-,-,-,-,150,10.500000000000002,1760.0,123.20000000000002,6800.0,-,-,,8843.7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,5,2027,Studio,58,2746,65,3030,7.0,284.0,-,-,-,-,210,14.700000000000001,2272.0,159.04000000000002,6800.0,-,-,,9455.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,6,2028,Studio,57,3483,63,3844,6.0,361.0,-,-,-,-,180,12.600000000000001,2888.0,202.16000000000003,6800.0,-,-,,10082.76,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,7,2049,Studio,66,3340,73,3689,7.0,349.0,-,-,-,-,210,14.700000000000001,2792.0,195.44000000000003,6800.0,-,-,,10012.14,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,8,2050,Studio,61,2737,66,3008,5.0,271.0,-,-,-,-,150,10.500000000000002,2168.0,151.76000000000002,6800.0,-,-,,9280.26,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,9,2051,Studio,18,2621,18,2915,0.0,294.0,-,-,-,-,0,0.0,2352.0,164.64000000000001,6800.0,-,-,,9316.64,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,10,2052,Studio,94,2491,94,2504,0.0,13.0,-,-,-,-,0,0.0,104.0,7.280000000000001,6800.0,-,-,,6911.28,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
