Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ย 2568 (บาท),รับเงินล่วงหน้า เดือนกันยายน 2568,วันที่จ่าย ค่าเช่าในเดือน พ.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ธ.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 25,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ ชดเลชยความเสียหาย,ค่าน้ำ,Vat7% ค่าน้ำ.1,ค่าไฟ,Vat7% ค่าไฟ.1,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3002,Suite,29,1086,30,1237,1.0,151.0,,,,,30,2.1,1510,105.70000000000002,13600.0,11671.66,-,-,2568-12-20 00:00:00,3576.1399999999994,,,,,,,,,,,,,,,,,,,,,,,26520.0,2568-10-09 00:00:00,6 เดือน,,,
W,2,4109,Studio OUT,0,0,0,0,0.0,0.0,,,0.0,0,0,0,0,0.0,0.0,,-,-,,0,,,6800,6800.0,1000.0,70.0,1000.0,180.0,12.600000000000001,1150.0,80.50000000000001,27.0,1991.0,33.0,2106.0,6.0,115.0,10293.1,3306.8999999999996,,2568-11-30 00:00:00,กสิกรไทย คุณณรงค์ 0581083912 ,0.0,2568-06-01 00:00:00,6 เดือน,,,
W,3,4110,Studio OUT,0,0,0,0,0.0,0.0,,,0.0,0,0,0,0,0.0,0.0,,-,-,,0,,,6800,6800.0,1000.0,70.0,,120.0,8.4,2310.0,161.70000000000002,24.0,1501.0,28.0,1732.0,4.0,231.0,10470.1,3129.8999999999996,,2568-11-30 00:00:00,กสิกรไทย คุณณรงค์ 0581083912 ,0.0,2568-06-01 00:00:00,6 เดือน,,,
W,4,4111,Studio OUT,0,0,0,0,0.0,0.0,,,0.0,0,0,0,0,0.0,0.0,,-,-,,0,,,6800,6800.0,500.0,35.0,,150.0,10.500000000000002,4130.0,289.1,20.0,1762.0,25.0,2175.0,5.0,413.0,11914.6,1685.3999999999996,,2568-11-30 00:00:00,กสิกรไทย คุณณรงค์ 0581083912 ,0.0,2568-06-01 00:00:00,6 เดือน,,,
W,5,4112,Studio,12,602,15,847,3.0,245.0,,,,,90,6.300000000000001,2450,171.50000000000003,6800.0,,,,,9517.8,,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-09-15 00:00:00,6 เดือน,,,
W,6,4114,Studio OUT,0,0,0,0,0.0,0.0,,,,,0,0,0,0.0,0.0,,,,,0,,,6800,6800.0,1000.0,70.0,,360.0,25.200000000000003,2580.0,180.60000000000002,13.0,1478.0,25.0,1736.0,12.0,258.0,11015.800000000001,2584.199999999999,,2568-11-30 00:00:00,กสิกรไทย คุณณรงค์ 0581083912 ,0.0,2568-06-01 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,4.0,396.0,,,0.0,0,120,8.4,3960,277.20000000000005,20400.0,,0,0,,13093.939999999999,,,27200,27200.0,3500.0,245.0,1000.0,810.0,56.7,10170.0,711.9000000000001,,,,,27.0,1017.0,43693.600000000006,10706.399999999998,,,,39780.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,หักภาษี ณ ที่จ่าย 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,20400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,**ชานกง 4 ห้องย้ายออก วันที่ 30/11/2568 ,,,,,,,,,,,,,,,,,,,,,,,,,
