Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ธ.ค 2568 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,4007,Studio,31,1640,37,1787,6.0,147.0,,,,,180.0,12.600000000000001,1470.0,102.9,6800.0,340.0,6460.0,2569-01-06 00:00:00,8225.5,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13260.0,2568-11-08 00:00:00,6 เดือน,,,
W,2,4022,Studio,22,2226,25,2418,3.0,192.0,,,0.0,0.0,90.0,6.300000000000001,1920.0,134.4,6800.0,340.0,6460.0,,8610.7,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-05-17 00:00:00,6 เดือน,,,
W,3,4023,Studio,26,2572,28,2798,2.0,226.0,,,0.0,0.0,60.0,4.2,2260.0,158.20000000000002,6800.0,340.0,6460.0,,8942.4,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-05-22 00:00:00,6 เดือน,,,
W,4,4024,Studio,11,561,13,634,2.0,73.0,,,,,60.0,4.2,730.0,51.1,6800.0,340.0,6460.0,,7305.3,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-22 00:00:00,6 เดือน,,,
W,5,4025,Studio,17,1170,18,1253,1.0,83.0,,,,,30.0,2.1,830.0,58.10000000000001,6800.0,340.0,6460.0,,7380.2,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-22 00:00:00,6 เดือน,,,
W,6,4026,Studio,22,1423,25,1533,3.0,110.0,,,,,90.0,6.300000000000001,1100.0,77.00000000000001,6800.0,340.0,6460.0,,7733.3,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-07-01 00:00:00,6 เดือน,,,
W,7,4109,Studio,33,2106,36,2615,3.0,509.0,,,,,90.0,6.300000000000001,5090.0,356.3,6361.29,318.0645,6043.2255,,11585.825499999999,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-12-03 00:00:00,,,,
W,8,4129,Studio,36,1433,43,1644,7.0,211.0,,,,,210.0,14.700000000000001,2110.0,147.70000000000002,6800.0,340.0,6460.0,,8942.4,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-01 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,27.0,1551.0,,,0.0,0.0,810.0,56.7,15510.0,1085.7,53961.29,2698.0645,51263.2255,,68725.6255,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,107780.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,,,,หักภาษี ณ ที่จ่าย 5%,,2698.0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าประกัน+ล่วงหน้า 4109 เข้าพัก 3/12/2568,,,2568-12-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,0,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน ธันวาคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,68725.6255,,M Estate 1983859190,,2569-01-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,68725.6255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่าเดือน ธ.ค 68,,,,,,,,,,,,ค่าประกัน+ล่วงหน้า 4109 เข้าพัก 3/12/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า Studio/เดือน (บาท),,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนห้องเช่า,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า,,,53961.29,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า หลังหัก 5%,,,51263.2255,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vat7%,,,1142.4,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าน้ำ,,27,810,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ,,1551,15510,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รวม,,,68725.6255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค้างชำระ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประกัน+ล่วงหน้า,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
