Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ ส.ค,ยูนิตไฟ ส.ค,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ธ.ค 2568 (บาท),ค่าทำความสะอาด,ค่าปรับกล่องดักไขมัน,ค่าปรับกุญแจ หาย,จำนวนเงิน (บาท),วันที่ย้ายออก,วันเข้าพัก,สถานะ,ยอดเงินคงเหลือ
E,1,1021,Suite,120,3359,127,3640.0,7.0,281.0,-,-,-,-,210.0,14.700000000000001,2248.0,157.36,9000.0,-,-,,11630.060000000001,เช่าต่อเนื่อง,2568-03-18 00:00:00,ยังเช่าอยู่,
W,2,4034,Studio,22,1082,25,1401.0,3.0,319.0,,,,,90.0,6.300000000000001,2552.0,178.64000000000001,4500.0,,,,7326.9400000000005,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,3,4035,Studio,25,1697,25,1727.0,0.0,30.0,-,-,-,-,0.0,0.0,240.0,16.8,4500.0,-,-,,4756.8,เช่าต่อเนื่อง,2568-03-05 00:00:00,ยังเช่าอยู่,
W,4,4036,Studio,14,690,15,693.0,1.0,3.0,,,,,30.0,2.1,24.0,1.6800000000000002,4500.0,,,,4557.780000000001,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,5,4037,Studio,14,706,15,771.0,1.0,65.0,,,,,30.0,2.1,520.0,36.400000000000006,4500.0,,,,5088.5,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,6,4038,Studio,23,900,26,1122.0,3.0,222.0,,,,,90.0,6.300000000000001,1776.0,124.32000000000001,4500.0,,,,6496.62,เช่าต่อเนื่อง,2568-09-26 00:00:00,ยังเช่าอยู่,
W,7,4039,Studio,27,1265,31,1558.0,4.0,293.0,,,,,120.0,8.4,2344.0,164.08,4500.0,,,,7136.48,เช่าต่อเนื่อง,2568-10-04 00:00:00,ยังเช่าอยู่,
W,8,4063,Studio,36,2255,38,2428.0,2.0,173.0,-,-,-,-,60.0,4.2,1384.0,96.88000000000001,4500.0,-,-,,6045.08,เช่าต่อเนื่อง,2568-03-09 00:00:00,ยังเช่าอยู่,
,,,,,,ยูนิตน้ำ+ไฟ,,21.0,1386.0,,,0,0,630.0,44.10000000000001,11088.0,776.1600000000001,40500.0,0,0,0.0,53038.26000000001,,,,
,,,,,,,,,,,,รวม,,53038.26,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือยกมาจาก พ.ย 68,,5385942.94,,,,,,,,,,,,,,,,,,,,,
,,,ค่าใช้จ่าย ต.ค,,53038.26,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือ =,,5332904.680000001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,สัญญาระบุการจ่ายเงิน,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,8,,,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,,40500,บาท,,,,,,,,,,,,,,,,,,,,,
,Vat7%,,,820.2600000000001,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,21,630,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,1386,11088,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,
,รวม,,,53038.26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ยอดเงินคงเหลือ,,,5332904.680000001,,,,,,,,,,,,,,,,,,,,,,
