Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน ธ.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ธ.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3006,Suite,30,842,37,1215,7.0,373.0,12/12/2568,M Estate 1983859190,13600.0,13600.0,210.0,14.700000000000001,3730.0,261.1,,0.0,8774.19,,,2569-01-10 00:00:00,12989.990000000002,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,27200.0,2568-12-11 00:00:00,6 เดือน,,,
W,2,4114,Studio,25,1736,25,1798,0.0,62.0,12/12/2568,M Estate 1983859190,6800.0,6800.0,0.0,0.0,620.0,43.400000000000006,,0.0,4387.1,,,,5050.5,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-12-11 00:00:00,6 เดือน,,,
W,3,4120,Studio,25,892,27,1022,2.0,130.0,12/12/2568,M Estate 1983859190,6800.0,6800.0,60.0,4.2,1300.0,91.00000000000001,0.0,0.0,4387.1,,,,5842.3,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-12-11 00:00:00,6 เดือน,,,
W,4,4121,Studio,24,706,30,841,6.0,135.0,12/12/2568,M Estate 1983859190,6800.0,6800.0,180.0,12.600000000000001,1350.0,94.50000000000001,,0.0,4387.1,,,,6024.200000000001,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-12-11 00:00:00,6 เดือน,,,
W,5,4122,Studio,20,701,22,822,2.0,121.0,12/12/2568,M Estate 1983859190,6800.0,6800.0,60.0,4.2,1210.0,84.7,0.0,0.0,4387.1,,,,5746.0,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-12-11 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,17.0,821.0,,,40800.0,40800.0,510.0,35.7,8210.0,574.7,0.0,0.0,26322.589999999997,,0,,35652.990000000005,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,81600.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,81600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน ธันวาคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,35652.99,,M Estate 1983859190,,2569-01-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
