Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน ธ.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ธ.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ม.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1006,Suite,40,1621,41,1687,1.0,66.0,30/12/2568,M Estate 1983859190,13600.0,13600,30.0,2.1,660.0,46.2,233,16.310000000000002,7458.06,,,2569-01-16 00:00:00,8445.670000000002,กสิกรไทย k.ณรงค์ 0581083912,,,,,,,,,,,,,,,,,,,,,27200.0,2568-12-15 00:00:00,6 เดือน,,,
E,2,1020,Suite,1430,1022,1435,1194,5.0,172.0,3/12/2568,M Estate 1983859190,13600.0,13600,150.0,10.500000000000002,1720.0,120.4,,0,12722.58,2568-12-30 00:00:00,14723.48,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,27200.0,2568-12-03 00:00:00,6 เดือน,,,
W,3,4051,Studio,30,2546,31,2585,1.0,39.0,30/12/2568,M Estate 1983859190,6800.0,6800,30.0,2.1,390.0,27.300000000000004,233,16.310000000000002,4387.1,,,2569-01-16 00:00:00,5085.810000000001,กสิกรไทย k.ณรงค์ 0581083912,,,,,,,,,,,,,,,,,,,,,13600.0,2568-12-12 00:00:00,6 เดือน,,,
W,4,4111,Studio,25,2175,27,2195,2.0,20.0,20/12/2568,M Estate 1983859190,6800.0,6800,60.0,4.2,200.0,14.000000000000002,,0,5922.58,2568-12-30 00:00:00,6200.78,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,13600.0,2568-12-05 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,9.0,297.0,,,40800.0,40800,270.0,18.900000000000002,2970.0,207.90000000000003,466,32.620000000000005,30490.32,,20924.26,,13531.480000000003,,,,0.0,0.0,0.0,0.0,0,,,,,0.0,0.0,0.0,0.0,,,,,,81600.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,81600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน ธันวาคม ห้อง1020 + 4111,,,,,,,,ค่าเช่า เดือน ธันวาคม 1006 + 4051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดรวม,20924.26,,M Estate 1983859190,,2568-12-30 00:00:00,,,ยอดรวม,13531.480000000003,,กสิกร k.ณรงค์ 0581083912,,2569-01-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,,,,,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
