Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ธ.ค 2568 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,Unnamed: 27,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1018,Studio,32,1416.0,32,1417.0,0,1.0,,,,,0.0,0.0,8.0,0.56,0.0,0.0,0.0,2569-01-09 00:00:00,8.56,,,,,,,,,,,,,,,,,,,,,,2568-11-25 00:00:00,,,,
C,2,3035,Suite,85,3586.0,94,3931.0,9,345.0,0.0,0,0.0,0.0,270.0,18.900000000000002,2760.0,193.20000000000002,12000.0,600.0,11400.0,,14642.1,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,23400.0,2568-03-12 00:00:00,,,,
W,3,4064,Studio,9,568.0,12,618.0,3,50.0,0.0,0,0.0,0.0,90.0,6.300000000000001,400.0,28.000000000000004,6000.0,300.0,5700.0,,6224.3,,,,,,,,,,,,,,,,,,,,,11700.0,2568-11-25 00:00:00,,,,
W,4,4080,Studio,28,1763.0,31,1901.0,3,138.0,,,,,90.0,6.300000000000001,1104.0,77.28,6000.0,300.0,5700.0,,6977.58,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-24 00:00:00,,,,
W,5,4087,Studio,85,2113.0,98,2377.0,13,264.0,,,,,390.0,27.300000000000004,2112.0,147.84,6000.0,300.0,5700.0,,8377.14,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-11 00:00:00,,,,
W,6,4088,Studio,24,1100.0,30,1217.0,6,117.0,,,,,180.0,12.600000000000001,936.0,65.52000000000001,6000.0,300.0,5700.0,,6894.12,,,,,,,,,,,,,,,,,,,,,11700.0,2568-09-19 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,34,915.0,,,0.0,0.0,1020.0,71.4,7320.0,512.4,36000.0,1800.0,34200.0,,43123.8,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,70200.0,,,,,
,,,,,,,,,,,รวม,0.0,,,,,หักภาษี ณ ที่จ่าย 5%,,1800.0,,,,,,หักภาษี ณ ที่จ่าย 5%,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ค่าเช่า เดือน ธันวาคม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
