Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ธ.ค 2568 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่าข้ามไปเดือน ม.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2001,Studio,79,2980,87,3156,8.0,176.0,-,-,-,-,240.0,16.8,1408.0,98.56,4500,225.0,4275.0,2569-01-23 00:00:00,6038.36,M Estate 1983859190,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,2,2002,Studio,62,3109,65,3283,3.0,174.0,-,-,-,-,90.0,6.300000000000001,1392.0,97.44000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5860.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,3,2003,Studio,53,2036,57,2146,4.0,110.0,-,-,-,-,120.0,8.4,880.0,61.60000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5345.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,4,2004,Studio,108,1464,108,1464,0.0,0.0,-,-,-,-,0.0,0,0.0,0.0,4500,225.0,4275.0,2569-01-23 00:00:00,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,5,2005,Studio,61,2699,67,2821,6.0,122.0,-,-,-,-,180.0,12.600000000000001,976.0,68.32000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5511.92,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,6,2006,Studio,220,1864,225,1956,5.0,92.0,-,-,-,-,150.0,10.500000000000002,736.0,51.52,4500,225.0,4275.0,2569-01-23 00:00:00,5223.02,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,7,2007,Studio,71,1915,75,1989,4.0,74.0,-,-,-,-,120.0,8.4,592.0,41.440000000000005,4500,225.0,4275.0,2569-01-23 00:00:00,5036.84,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,8,2008,Studio,43,1177,47,1299,4.0,122.0,-,-,-,-,120.0,8.4,976.0,68.32000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5447.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,9,2009,Studio,70,2182,75,2261,5.0,79.0,-,-,-,-,150.0,10.500000000000002,632.0,44.24,4500,225.0,4275.0,2569-01-23 00:00:00,5111.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,10,2010,Studio,58,1581,63,1649,5.0,68.0,-,-,-,-,150.0,10.500000000000002,544.0,38.080000000000005,4500,225.0,4275.0,2569-01-23 00:00:00,5017.58,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
