Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,ยอดเงินเข้ายกมาจากเดือน ม.ค 2568,Unnamed: 18,Unnamed: 19,307118.19,ยอดเงินโอนข้ามเดือน,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,ยอดเงินโอนออกยกมาจากเดือน ม.ค 2568,Unnamed: 35,Unnamed: 36,47942,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
No.มีผู้เช่า,Zone,No.,,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.พ 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ก.พ,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน มี.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ก.พ),วันที่คืนเงินย้ายออก (ก.พ),เงินโอนคืนผู้เช่าย้ายออก (มี.ค),วันที่คืนเงินย้ายออก (มี.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
1,ร้านอาหาร,,,,,75,0,89,1087,14,1087,-,-,-,-,420,8696,18000,0,0,11/3/2568,27116,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,36000,23/12/2567,,,ชำระแล้ว,
2,ร้านอู้ฟู่ชา,,,,,0,0,5,76,5,76,-,-,-,-,150,608,0,0,0,11/3/2568,758,บช k.ณรงค์ 3912,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,13/02/2568,,,ชำระแล้ว,
3,E,1,จั๊มไฟ,1001,Suite,3,49,50,59,47,10,-,-,-,-,1410,80,0,2568-02-28 00:00:00,1490,0,0,บจก เอ็มเอสเทท 5919x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,,2 เดือน,,ชำระแล้ว,
,E,2,,1002,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,3,,1003,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,4,,1004,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,5,,1005,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,E,6,,1006,Suite,7,126,14,335,7,209,-,-,-,-,210,1672,"13,600",0,0,1/3/2568,15482,บช k.ณรงค์ 3912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27200,9/1/2568,,,ชำระแล้ว,
,E,7,,1007,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
