Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
Zone,No.,,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.พ 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ก.พ,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน เม.ย,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ก.พ),วันที่คืนเงินย้ายออก (ก.พ),เงินโอนคืนผู้เช่าย้ายออก (มี.ค),วันที่คืนเงินย้ายออก (มี.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
C,1,แปลง 71,3004,Studio,4,109,8,331,4,222,-,-,0,0,120,1776,6000,-,-,2568-04-07 00:00:00,7896,'M Estate 1788921183,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2568-02-01 00:00:00,1ปี,2569-01-31 00:00:00,,
C,2,แปลง71,3007,Studio,4,108,5,214,1,106,-,-,0,0,30,848,6000,-,-,2568-04-07 00:00:00,6878,'M Estate 1788921183,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,0,2568-02-01 00:00:00,1ปี,2569-01-31 00:00:00,,
C,3,แปลง71,3011,Studio,1,26,1,26,0,0,-,-,0,0,0,0,6000,-,-,2568-04-07 00:00:00,6000,'M Estate 1788921183,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,0,2568-02-01 00:00:00,1ปี,2569-01-31 00:00:00,,
,,,,,,,ยูนิตน้ำ+ไฟ,,5,328,,,,,150,2624,18000,,,,20774,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,รวม,,0,,หักภาษี ณ ที่จ่าย 5%,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,17100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,** สลิปโอนค่าเช่า อยู่ไฟล์ฟาร์อีสเดือน มี.ค โอนพร้อมค่าประกัน + ค่าเช่าล่วงหน้า 5 ห้อง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
