Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.พ 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ก.พ,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน มีนาคม,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,1,4041,Studio,3,22,5,118.0,2.0,96.0,-,-,-,-,60,768.0,6800.0,,,2568-04-01 00:00:00,7628.0,M ESTATE  1788921183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,2,4042,Studio,2,17,4,142.0,2.0,125.0,-,-,-,-,60,1000.0,6800.0,-,-,,7860.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,3,4043,Studio,1,23,3,138.0,2.0,115.0,-,-,-,-,60,920.0,6800.0,-,-,,7780.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,4,4044,Studio,1,8,4,85.0,3.0,77.0,-,-,-,-,90,616.0,6800.0,-,-,,7506.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,5,4045,Studio,2,20,2,116.0,0.0,96.0,-,-,-,-,0,768.0,6800.0,-,-,,7568.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,6,4046,Studio,2,42,3,320.0,1.0,278.0,-,-,-,-,30,2224.0,6800.0,-,-,,9054.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,7,4047,Studio,1,21,6,103.0,5.0,82.0,-,-,-,-,150,656.0,6800.0,-,-,,7606.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,8,4048,Studio,1,25,2,195.0,1.0,170.0,-,-,-,-,30,1360.0,6800.0,-,-,,8190.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,9,4049,Studio,1,30,4,318.0,3.0,288.0,-,-,-,-,90,2304.0,6800.0,-,-,,9194.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,10,4050,Studio,2,68,4,360.0,2.0,292.0,-,-,-,-,60,2336.0,6800.0,-,-,,9196.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-01-17 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
