Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มี.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ก.พ,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน เม.ษ,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3011,Studio,1,26.0,2,158.0,1.0,132,2568-04-07 00:00:00,M Estate 1788921183,6000,5700.0,30,1056.0,6000.0,-,-,2568-04-25 00:00:00,7086,-,,,,,,,,,,,,,,,,,,,,,11700.0,2568-02-01 00:00:00,1 ปี,31/2/2568,,
C,2,3007,Studio,5,214.0,8,424.0,3.0,210,2568-04-07 00:00:00,M Estate 1788921183,6000,5700.0,90,1680.0,6000.0,-,-,2568-04-25 00:00:00,7770,-,,,,,,,,,,,,,,,,,,,,,11700.0,2568-02-01 00:00:00,1 ปี,31/2/2568,,
C,3,3004,Studio,8,331.0,14,626.0,6.0,295,2568-04-07 00:00:00,M Estate 1788921183,6000,5700.0,180,2360.0,6000.0,-,-,2568-04-25 00:00:00,8540,-,,,,,,,,,,,,,,,,,,,,,11700.0,2568-02-01 00:00:00,1 ปี,31/2/2568,,
C,4,3035,Suite,10,390.0,13,534.0,3.0,144,2568-04-07 00:00:00,M Estate 1788921183,12000,11400.0,90,1152.0,7741.94,-,-,2568-04-25 00:00:00,8983.939999999999,-,,,,,,,,,,,,,,,,,,,,,23400.0,2568-03-12 00:00:00,1 ปี,2568-03-31 00:00:00,,
W,5,4008,Studio,1,1.0,2,187.0,1.0,186,2568-04-07 00:00:00,M Estate 1788921183,6000,5700.0,30,1488.0,5612.9,-,-,2568-04-25 00:00:00,7130.9,-,,,,,,,,,,,,,,,,,,,,,11700.0,2568-03-03 00:00:00,1 ปี,2568-03-31 00:00:00,,
W,6,4092,Studio,1,1.0,1,25.0,0.0,24,,ค้างชำระ,,,0,192.0,3483.87,-,-,2568-04-25 00:00:00,3675.87,-,,,,,,,,,,,,,,,,,,,,,0.0,2568-03-14 00:00:00,1 ปี,2568-03-31 00:00:00,,
,,,,,,ยูนิตน้ำ+ไฟ,,14.0,991,,,18000,17100.0,420,7928.0,34838.71,,0,,43186.71,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,70200.0,,,,,
,,,,,,,,,,,รวม,70200,,หักภาษี ณ ที่จ่าย 5%,,1741.9355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,33096.7745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
