Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มี.ค 2568 (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ย้ายออก,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ก.พ),วันที่คืนเงินย้ายออก (ก.พ),เงินโอนคืนผู้เช่าย้ายออก (มี.ค),วันที่คืนเงินย้ายออก (มี.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
E,1,1013,Suite,262,78,263,91,1.0,13.0,-,-,-,-,30,104.0,7838.71,,7972.71,M Estate 1788921183,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-05 00:00:00,6 เดือน,,,
E,2,1014,Suite,19,69,19,70,0.0,1.0,-,-,-,-,0,8.0,7838.71,,7846.71,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-05 00:00:00,6 เดือน,,,
E,3,1015,Suite,6,107,7,118,1.0,11.0,-,-,-,-,30,88.0,7838.71,,7956.71,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-05 00:00:00,6 เดือน,,,
E,4,1019,Suite,6,398,9,487,3.0,89.0,-,-,-,-,90,712.0,7838.71,,8640.71,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-05 00:00:00,6 เดือน,,,
E,5,1020,Suite,1425,666,1428,886,3.0,220.0,-,-,-,-,90,1760.0,7838.71,,9688.71,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-05 00:00:00,6 เดือน,,,
E,6,1021,Suite,55,518,58,665,3.0,147.0,-,-,-,-,90,1176.0,4064.52,,5330.52,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-18 00:00:00,6 เดือน,,,
E,7,1025,Suite,2,10,5,53,3.0,43.0,-,-,-,-,90,344.0,4064.52,,4498.52,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-18 00:00:00,6 เดือน,,,
E,8,1026,Suite,5,15,7,121,2.0,106.0,-,-,-,-,60,848.0,4064.52,,4972.52,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-18 00:00:00,6 เดือน,,,
W,9,4010,Studio,1,1,3,134,2.0,133.0,-,-,-,-,60,1064.0,3483.87,,4607.87,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-08 00:00:00,6 เดือน,,,
W,10,4021,Studio,1,1,3,107,2.0,106.0,-,-,-,-,60,848.0,3919.35,,4827.35,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-05 00:00:00,6 เดือน,,,
W,11,4022,Studio,1,1,2,185,1.0,184.0,-,-,-,-,30,1472.0,3919.35,,5421.35,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2568-03-05 00:00:00,6 เดือน,,,
