Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มี.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน มี.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน เม.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ก.พ),วันที่คืนเงินย้ายออก (ก.พ),เงินโอนคืนผู้เช่าย้ายออก (มี.ค),วันที่คืนเงินย้ายออก (มี.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2001,Studio,15,389,21,575,6.0,186.0,-,-,-,-,180,1488.0,4500.0,,,2568-04-11 00:00:00,6168.0,M Estate 1788921183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,2,2002,Studio,27,658,31,914,4.0,256.0,-,-,-,-,120,2048.0,4500.0,-,-,2568-04-11 00:00:00,6668.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,3,2003,Studio,19,308,24,469,5.0,161.0,-,-,-,-,150,1288.0,4500.0,-,-,2568-04-11 00:00:00,5938.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,4,2004,Studio,33,437,40,613,7.0,176.0,-,-,-,-,210,1408.0,4500.0,-,-,2568-04-11 00:00:00,6118.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,5,2005,Studio,12,376,16,637,4.0,261.0,-,-,-,-,120,2088.0,4500.0,-,-,2568-04-11 00:00:00,6708.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,6,2006,Studio,137,381,150,571,13.0,190.0,-,-,-,-,390,1520.0,4500.0,-,-,2568-04-11 00:00:00,6410.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,7,2007,Studio,16,448,19,593,3.0,145.0,-,-,-,-,90,1160.0,4500.0,-,-,2568-04-11 00:00:00,5750.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,8,2008,Studio,17,229,21,345,4.0,116.0,-,-,-,-,120,928.0,4500.0,-,-,2568-04-11 00:00:00,5548.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,9,2009,Studio,17,371,21,583,4.0,212.0,-,-,-,-,120,1696.0,4500.0,-,-,2568-04-11 00:00:00,6316.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,10,2010,Studio,8,144,14,271,6.0,127.0,-,-,-,-,180,1016.0,4500.0,-,-,2568-04-11 00:00:00,5696.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,11,2011,Studio,16,209,23,407,7.0,198.0,-,-,-,-,210,1584.0,4500.0,-,-,2568-04-11 00:00:00,6294.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,12,2012,Studio,12,425,16,697,4.0,272.0,-,-,-,-,120,2176.0,4500.0,-,-,2568-04-11 00:00:00,6796.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,13,2013,Studio,12,402,15,704,3.0,302.0,-,-,-,-,90,2416.0,4500.0,-,-,2568-04-11 00:00:00,7006.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,14,2014,Studio,304,280,307,424,3.0,144.0,-,-,-,-,90,1152.0,4500.0,-,-,2568-04-11 00:00:00,5742.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,15,2015,Studio,13,244,17,385,4.0,141.0,-,-,-,-,120,1128.0,4500.0,-,-,2568-04-11 00:00:00,5748.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,16,2016,Studio,11,232,16,426,5.0,194.0,-,-,-,-,150,1552.0,4500.0,-,-,2568-04-11 00:00:00,6202.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,17,2017,Studio,16,282,24,437,8.0,155.0,-,-,-,-,240,1240.0,4500.0,-,-,2568-04-11 00:00:00,5980.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,18,2018,Studio,16,294,23,522,7.0,228.0,-,-,-,-,210,1824.0,4500.0,-,-,2568-04-11 00:00:00,6534.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,19,2019,Studio,14,795,19,1150,5.0,355.0,-,-,-,-,150,2840.0,4500.0,-,-,2568-04-11 00:00:00,7490.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,24,363,32,654,8.0,291.0,-,-,-,-,240,2328.0,4500.0,-,-,2568-04-11 00:00:00,7068.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,7,180,9,331,2.0,151.0,-,-,-,-,60,1208.0,4500.0,-,-,2568-04-11 00:00:00,5768.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,3,51,4,71,1.0,20.0,-,-,-,-,30,160.0,4500.0,-,-,2568-04-11 00:00:00,4690.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,9,224,12,427,3.0,203.0,-,-,-,-,90,1624.0,4500.0,-,-,2568-04-11 00:00:00,6214.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,9,205,11,342,2.0,137.0,-,-,-,-,60,1096.0,4500.0,-,-,2568-04-11 00:00:00,5656.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,14,292,20,473,6.0,181.0,-,-,-,-,180,1448.0,4500.0,-,-,2568-04-11 00:00:00,6128.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,26,2034,Studio,7,192,9,371,2.0,179.0,-,-,-,-,60,1432.0,4500.0,-,-,2568-04-11 00:00:00,5992.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,9,124,15,228,6.0,104.0,-,-,-,-,180,832.0,4500.0,-,-,2568-04-11 00:00:00,5512.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,16,221,24,368,8.0,147.0,-,-,-,-,240,1176.0,4500.0,-,-,2568-04-11 00:00:00,5916.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,7,180,9,324,2.0,144.0,-,-,-,-,60,1152.0,4500.0,-,-,2568-04-11 00:00:00,5712.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,13,275,16,477,3.0,202.0,-,-,-,-,90,1616.0,4500.0,-,-,2568-04-11 00:00:00,6206.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,7,165,11,351,4.0,186.0,-,-,-,-,120,1488.0,4500.0,-,-,2568-04-11 00:00:00,6108.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,7,308,11,522,4.0,214.0,-,-,-,-,120,1712.0,4500.0,-,-,2568-04-11 00:00:00,6332.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,9,235,21,379,12.0,144.0,-,-,-,-,360,1152.0,4500.0,-,-,2568-04-11 00:00:00,6012.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,24,215,26,336,2.0,121.0,-,-,-,-,60,968.0,4500.0,-,-,2568-04-11 00:00:00,5528.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,9,213,13,372,4.0,159.0,-,-,-,-,120,1272.0,4500.0,-,-,2568-04-11 00:00:00,5892.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,11,248,15,394,4.0,146.0,-,-,-,-,120,1168.0,4500.0,-,-,2568-04-11 00:00:00,5788.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,9,347,16,563,7.0,216.0,-,-,-,-,210,1728.0,4500.0,-,-,2568-04-11 00:00:00,6438.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,8,153,8,264,0.0,111.0,-,-,-,-,0,888.0,4500.0,-,-,2568-04-11 00:00:00,5388.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,7,183,11,332,4.0,149.0,-,-,-,-,120,1192.0,4500.0,-,-,2568-04-11 00:00:00,5812.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,5,137,8,344,3.0,207.0,-,-,-,-,90,1656.0,4500.0,-,-,2568-04-11 00:00:00,6246.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
W,41,4011,Studio,8,225,12,407,4.0,182.0,-,-,-,-,120,1456.0,4500.0,,,2568-04-11 00:00:00,6076.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,42,4012,Studio,5,174,9,341,4.0,167.0,-,-,-,-,120,1336.0,4500.0,,,2568-04-11 00:00:00,5956.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,43,4013,Studio,6,170,11,367,5.0,197.0,-,-,-,-,150,1576.0,4500.0,,,2568-04-11 00:00:00,6226.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,44,4014,Studio,5,118,10,325,5.0,207.0,-,-,-,-,150,1656.0,4500.0,,,2568-04-11 00:00:00,6306.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,45,4015,Studio,2,61,3,119,1.0,58.0,-,-,-,-,30,464.0,4500.0,,,2568-04-11 00:00:00,4994.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,46,4016,Studio,5,108,10,261,5.0,153.0,-,-,-,-,150,1224.0,4500.0,,,2568-04-11 00:00:00,5874.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,47,4017,Studio,4,158,7,307,3.0,149.0,-,-,-,-,90,1192.0,4500.0,,,2568-04-11 00:00:00,5782.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,48,4018,Studio,5,173,11,341,6.0,168.0,-,-,-,-,180,1344.0,4500.0,,,2568-04-11 00:00:00,6024.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,49,4019,Studio,5,91,10,229,5.0,138.0,-,-,-,-,150,1104.0,4500.0,,,2568-04-11 00:00:00,5754.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,50,4020,Studio,3,59,5,184,2.0,125.0,-,-,-,-,60,1000.0,4500.0,,,2568-04-11 00:00:00,5560.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,51,4058,Studio,1,3,2,56,1.0,53.0,25/4/2568,M Estate 1788921183,4500,4275,30,424.0,2903.23,,,2568-04-11 00:00:00,3357.23,M Estate 1788921183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,52,4059,Studio,1,3,4,114,3.0,111.0,,,4500,4275,90,888.0,2903.23,,,2568-04-11 00:00:00,3881.23,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,53,4060,Studio,11,5,12,40,1.0,35.0,,,4500,4275,30,280.0,2903.23,,,2568-04-11 00:00:00,3213.23,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,54,4069,Studio,31,103,33,153,2.0,50.0,,,4500,4275,60,400.0,2903.23,,,2568-04-11 00:00:00,3363.23,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,55,4070,Studio,1,5,2,63,1.0,58.0,,,4500,4275,30,464.0,2903.23,,,2568-04-11 00:00:00,3397.23,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,56,4071,Studio,1,5,2,72,1.0,67.0,,,4500,4275,30,536.0,2903.23,,,2568-04-11 00:00:00,3469.23,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,57,4072,Studio,1,2,2,49,1.0,47.0,,,4500,4275,30,376.0,2903.23,,,2568-04-11 00:00:00,3309.23,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
