Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน พ.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน เม.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1016,Studio,10,314.0,10,319.0,0.0,5,-,-,-,-,0,40.0,0.0,11/4/2568,-,,40.0,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,0.0,2568-01-05 00:00:00,1 ปี,2569-01-31 00:00:00,,
E,2,1017,Studio,47,817.0,48,963.0,1.0,146,-,-,-,-,30,1168.0,0.0,,-,,1198.0,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,0.0,2568-01-05 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,3,4054,Studio,1,11.0,3,114.0,2.0,103,-,-,-,-,60,824.0,5500.0,,-,,6384.0,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,11000.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,4,4055,Studio,1,9.0,1,9.0,0.0,0,,-,-,-,0,0.0,5500.0,,-,,5500.0,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,11000.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,5,4056,Studio,1,5.0,3,100.0,2.0,95,,-,-,-,60,760.0,5500.0,,-,,6320.0,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,11000.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
,,,,,,ยูนิตน้ำ+ไฟ,,5.0,349,,,0,0,150,2792.0,16500.0,,0,,19442.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,33000.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0,,หักภาษี ณ ที่จ่าย 5%,,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,15675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,18617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
