Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,ยอดเงินยกมาจากเดือน มี.ค 2568,Unnamed: 19,Unnamed: 20,504474.3000000001,ยอดเงินโอนข้ามเดือน,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,ยอดเงินโอนออกยกมาจากเดือน มี.ค 2568,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,27993.36,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
No.มีผู้เช่า,Zone,No.,,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน (เม.ย) 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน (เม.ย),จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,ค่าใช้จ่ายทั้งสิ้น,อื่นๆ,ยอดเงินโอนคืนผู้เช่าย้ายออก (เม.ย),วันที่คืนเงินย้ายออก (เม.ย),เงินโอนคืนผู้เช่าย้ายออก (พ.ค),วันที่คืนเงินย้ายออก (พ.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
1,ร้านอาหารจีน,,,,,101,1664,104,1903,3,239,,-,-,,,90,1912,18000,0,0,27/5/2568,20002,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,-,36000,23/12/2567,,,,
2,ร้านอู้ฟู่ชา,,,,,14,170,33,344,19,174,,-,-,,,570,1392,0,0,0,5/5/2568,1962,บจก. เอ็มเอส เทท 1983859190,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,0,13/02/2568,,,,
3,,ร้านยำหน้าบ้านพัก,,,,0,52,0,127,0,0,75,-,-,,,0,750,0,30/4/2568,750,,,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,-,0,0,,,,
4,E,1,จั๊มไฟ,1001,Suite,95,60,117,95,22,35,,-,-,,,660,280,0,,,1/5/2568,940,บจก. เอ็มเอส เทท 1983859190,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,5000,,2 เดือน,,ชำระแล้ว,
,E,2,,1002,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,3,,1003,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,4,,1004,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,5,,1005,Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,E,6,,1006,Suite,21,641,23,715,2,74,,-,-,,,60,592,"13,600",0,0,3/5/2568,14252,บจก. เอ็มเอส เทท 1983859190,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,27200,9/1/2568,,,,
