Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน เม.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน เม.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ก.พ),วันที่คืนเงินย้ายออก (ก.พ),เงินโอนคืนผู้เช่าย้ายออก (มี.ค),วันที่คืนเงินย้ายออก (มี.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2001,Studio,21,575,26,826,5.0,251.0,-,-,-,-,150,2008.0,4500.0,,,2568-05-20 00:00:00,6658.0,M Estate 1788921183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,2,2002,Studio,31,914,34,1241,3.0,327.0,-,-,-,-,90,2616.0,4500.0,-,-,2568-05-20 00:00:00,7206.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,3,2003,Studio,24,469,28,730,4.0,261.0,-,-,-,-,120,2088.0,4500.0,-,-,2568-05-20 00:00:00,6708.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,4,2004,Studio,40,613,52,823,12.0,210.0,-,-,-,-,360,1680.0,4500.0,-,-,2568-05-20 00:00:00,6540.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,5,2005,Studio,16,637,20,987,4.0,350.0,-,-,-,-,120,2800.0,4500.0,-,-,2568-05-20 00:00:00,7420.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,6,2006,Studio,150,571,157,839,7.0,268.0,-,-,-,-,210,2144.0,4500.0,-,-,2568-05-20 00:00:00,6854.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,7,2007,Studio,19,593,20,694,1.0,101.0,-,-,-,-,30,808.0,4500.0,-,-,2568-05-20 00:00:00,5338.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,8,2008,Studio,21,345,25,532,4.0,187.0,-,-,-,-,120,1496.0,4500.0,-,-,2568-05-20 00:00:00,6116.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,9,2009,Studio,21,583,25,806,4.0,223.0,-,-,-,-,120,1784.0,4500.0,-,-,2568-05-20 00:00:00,6404.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,10,2010,Studio,14,271,22,579,8.0,308.0,-,-,-,-,240,2464.0,4500.0,-,-,2568-05-20 00:00:00,7204.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,11,2011,Studio,23,407,33,735,10.0,328.0,-,-,-,-,300,2624.0,4500.0,-,-,2568-05-20 00:00:00,7424.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,12,2012,Studio,16,697,21,1121,5.0,424.0,-,-,-,-,150,3392.0,4500.0,-,-,2568-05-20 00:00:00,8042.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,13,2013,Studio,15,704,21,1112,6.0,408.0,-,-,-,-,180,3264.0,4500.0,-,-,2568-05-20 00:00:00,7944.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,14,2014,Studio,307,424,308,580,1.0,156.0,-,-,-,-,30,1248.0,4500.0,-,-,2568-05-20 00:00:00,5778.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,15,2015,Studio,17,385,21,585,4.0,200.0,-,-,-,-,120,1600.0,4500.0,-,-,2568-05-20 00:00:00,6220.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,16,2016,Studio,16,426,20,668,4.0,242.0,-,-,-,-,120,1936.0,4500.0,-,-,2568-05-20 00:00:00,6556.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,17,2017,Studio,24,437,30,622,6.0,185.0,-,-,-,-,180,1480.0,4500.0,-,-,2568-05-20 00:00:00,6160.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,18,2018,Studio,23,522,33,866,10.0,344.0,-,-,-,-,300,2752.0,4500.0,-,-,2568-05-20 00:00:00,7552.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,19,2019,Studio,19,1150,23,1546,4.0,396.0,-,-,-,-,120,3168.0,4500.0,-,-,2568-05-20 00:00:00,7788.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,32,654,41,1025,9.0,371.0,-,-,-,-,270,2968.0,4500.0,-,-,2568-05-20 00:00:00,7738.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,9,331,11,475,2.0,144.0,-,-,-,-,60,1152.0,4500.0,-,-,2568-05-20 00:00:00,5712.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,4,71,6,129,2.0,58.0,-,-,-,-,60,464.0,4500.0,-,-,2568-05-20 00:00:00,5024.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,12,427,16,715,4.0,288.0,-,-,-,-,120,2304.0,4500.0,-,-,2568-05-20 00:00:00,6924.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,11,342,13,530,2.0,188.0,-,-,-,-,60,1504.0,4500.0,-,-,2568-05-20 00:00:00,6064.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,20,473,26,818,6.0,345.0,-,-,-,-,180,2760.0,4500.0,-,-,2568-05-20 00:00:00,7440.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,26,2034,Studio,9,371,11,644,2.0,273.0,-,-,-,-,60,2184.0,4500.0,-,-,2568-05-20 00:00:00,6744.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,15,228,20,360,5.0,132.0,-,-,-,-,150,1056.0,4500.0,-,-,2568-05-20 00:00:00,5706.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,24,368,30,519,6.0,151.0,-,-,-,-,180,1208.0,4500.0,-,-,2568-05-20 00:00:00,5888.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,9,324,11,516,2.0,192.0,-,-,-,-,60,1536.0,4500.0,-,-,2568-05-20 00:00:00,6096.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,16,477,19,834,3.0,357.0,-,-,-,-,90,2856.0,4500.0,-,-,2568-05-20 00:00:00,7446.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,11,351,19,677,8.0,326.0,-,-,-,-,240,2608.0,4500.0,-,-,2568-05-20 00:00:00,7348.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,11,522,15,862,4.0,340.0,-,-,-,-,120,2720.0,4500.0,-,-,2568-05-20 00:00:00,7340.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,21,379,21,581,0.0,202.0,-,-,-,-,0,1616.0,4500.0,-,-,2568-05-20 00:00:00,6116.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,26,336,27,481,1.0,145.0,-,-,-,-,30,1160.0,4500.0,-,-,2568-05-20 00:00:00,5690.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,13,372,17,625,4.0,253.0,-,-,-,-,120,2024.0,4500.0,-,-,2568-05-20 00:00:00,6644.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,15,394,19,588,4.0,194.0,-,-,-,-,120,1552.0,4500.0,-,-,2568-05-20 00:00:00,6172.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,16,563,24,876,8.0,313.0,-,-,-,-,240,2504.0,4500.0,-,-,2568-05-20 00:00:00,7244.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,8,264,8,443,0.0,179.0,-,-,-,-,0,1432.0,4500.0,-,-,2568-05-20 00:00:00,5932.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,11,332,15,570,4.0,238.0,-,-,-,-,120,1904.0,4500.0,-,-,2568-05-20 00:00:00,6524.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,8,344,11,597,3.0,253.0,-,-,-,-,90,2024.0,4500.0,-,-,2568-05-20 00:00:00,6614.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
W,41,4011,Studio,12,407,17,779,5.0,372.0,-,-,-,-,150,2976.0,4500.0,,,2568-05-20 00:00:00,7626.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,42,4012,Studio,9,341,13,600,4.0,259.0,-,-,-,-,120,2072.0,4500.0,,,2568-05-20 00:00:00,6692.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
