Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน พ.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน พ.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน มิ.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2001,Studio,26,826,36,1333,10.0,507.0,-,-,-,-,300,4056.0,4500.0,,,,9706.0,M Estate 1788921183,-,-,-,850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,2,2002,Studio,34,1241,40,1566,6.0,325.0,-,-,-,-,180,2600.0,4500.0,-,-,,7280.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,3,2003,Studio,28,730,32,851,4.0,121.0,-,-,-,-,120,968.0,4500.0,-,-,,5588.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,4,2004,Studio,52,823,68,1061,16.0,238.0,-,-,-,-,480,1904.0,4500.0,-,-,,6884.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,5,2005,Studio,20,987,25,1328,5.0,341.0,-,-,-,-,150,2728.0,4500.0,-,-,,7378.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,6,2006,Studio,157,839,183,1042,26.0,203.0,-,-,-,-,780,1624.0,4500.0,-,-,,6904.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,7,2007,Studio,20,694,25,805,5.0,111.0,-,-,-,-,150,888.0,4500.0,-,-,,5538.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,8,2008,Studio,25,532,30,713,5.0,181.0,-,-,-,-,150,1448.0,4500.0,-,-,,6098.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,9,2009,Studio,25,806,31,1103,6.0,297.0,-,-,-,-,180,2376.0,4500.0,-,-,,7056.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,10,2010,Studio,22,579,29,839,7.0,260.0,-,-,-,-,210,2080.0,4500.0,-,-,,6790.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,11,2011,Studio,33,735,43,991,10.0,256.0,-,-,-,-,300,2048.0,4500.0,-,-,,6848.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,12,2012,Studio,21,1121,24,1442,3.0,321.0,-,-,-,-,90,2568.0,4500.0,-,-,,7158.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,13,2013,Studio,21,1112,24,1657,3.0,545.0,-,-,-,-,90,4360.0,4500.0,-,-,,8950.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,14,2014,Studio,308,580,309,711,1.0,131.0,-,-,-,-,30,1048.0,4500.0,-,-,,5578.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,15,2015,Studio,21,585,24,755,3.0,170.0,-,-,-,-,90,1360.0,4500.0,-,-,,5950.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,16,2016,Studio,20,668,23,835,3.0,167.0,-,-,-,-,90,1336.0,4500.0,-,-,,5926.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,17,2017,Studio,30,622,36,868,6.0,246.0,-,-,-,-,180,1968.0,4500.0,-,-,,6648.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,18,2018,Studio,33,866,38,1138,5.0,272.0,-,-,-,-,150,2176.0,4500.0,-,-,,6826.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,19,2019,Studio,23,1546,30,1990,7.0,444.0,-,-,-,-,210,3552.0,4500.0,-,-,,8262.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
