Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มิ.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน มิ.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าเช่า เดือนมิ.ย,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3035,Suite,30,1227.0,45,1796.0,15,569.0,0.0,0,0.0,0.0,450,4552.0,11000.0,-,-,2568-07-22 00:00:00,16002,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,23400,2568-03-12 00:00:00,,,,
C,2,3004,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,1000.0,,120.0,2544.0,22.0,1189.0,26.0,1507.0,4.0,318.0,9164.0,2536.0,,,,0,2568-02-01 00:00:00,,,,
C,3,3007,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,150.0,1784.0,14.0,889.0,19.0,1112.0,5.0,223.0,7934.0,3766.0,,,,0,2568-02-01 00:00:00,,,,
C,4,3011,Suite,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,1100.0,500.0,60.0,1728.0,5.0,573.0,7.0,789.0,2.0,216.0,8888.0,2812.0,,,,0,2568-02-01 00:00:00,,,,
W,5,4008,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,1000.0,,570.0,4216.0,15.0,827.0,34.0,1354.0,19.0,527.0,11286.0,414.0,,,,0,2568-03-03 00:00:00,,,,
W,6,4077,Studio,,,,,,,0.0,,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,1000.0,,120.0,1264.0,4.0,146.0,8.0,304.0,4.0,158.0,7884.0,3816.0,,,,0,2568-05-06 00:00:00,,,,
W,7,4078,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,800.0,,180.0,2472.0,4.0,144.0,10.0,453.0,6.0,309.0,8952.0,2748.0,,,,0,2568-05-06 00:00:00,,,,
W,8,4079,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,1000.0,,210.0,3400.0,5.0,221.0,12.0,646.0,7.0,425.0,10110.0,1590.0,,,,0,2568-05-06 00:00:00,,,,
W,9,4080,Studio,,,,,,,,,,,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,800.0,,210.0,5168.0,4.0,310.0,11.0,956.0,7.0,646.0,11678.0,22.0,,,,0,2568-05-06 00:00:00,,,,
W,10,4081,Studio,,,,,,,,,,,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,1000.0,,270.0,2288.0,5.0,140.0,14.0,426.0,9.0,286.0,9058.0,2642.0,,,,0,2568-05-06 00:00:00,,,,
W,11,4082,Studio,,,,,,,,,,,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,,,120.0,1904.0,3.0,147.0,7.0,385.0,4.0,238.0,7524.0,4176.0,,,,0,2568-05-08 00:00:00,,,,
W,12,4083,Studio,,,,,,,,,,,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,800.0,,0.0,1944.0,7.0,90.0,7.0,333.0,0.0,243.0,8244.0,3456.0,,,,0,2568-05-08 00:00:00,,,,
W,13,4084,Studio,,,,,,,,,,,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,210.0,2552.0,3.0,109.0,10.0,428.0,7.0,319.0,8762.0,2938.0,,,,0,2568-05-14 00:00:00,,,,
W,14,4095,Studio,,,,,,,,,,,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,1000.0,,120.0,3568.0,8.0,714.0,12.0,1160.0,4.0,446.0,10188.0,1512.0,,,,0,2568-04-10 00:00:00,,,,
W,15,4131,Studio,,,,,,,,,,,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,120.0,2760.0,7.0,325.0,11.0,670.0,4.0,345.0,8880.0,2820.0,,,,0,2568-04-24 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,15,569.0,,,0.0,0.0,450,4552.0,11000.0,,0,,16002,,,,79800.0,77000.0,11000.0,500.0,2460.0,37592.0,,,,,82.0,4699.0,128552.0,35248.0,,,,23400,,,,,
,,,,,,,,,,,รวม,0.0,,หักภาษี ณ ที่จ่าย 5%,,550.0,,,,,,,หักภาษี ณ ที่จ่าย 5%,,3850.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,10450.0,,,,,,,จำนวนรวมทั้งสิ้น,,73150.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค้างชำระ ประกัน + ค่าเช่าล่วงหน้า 12 ห้อง ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,16,4085,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,180.0,488.0,2.0,6.0,8.0,67.0,6.0,61.0,6668.0,,,,,ค้างชำระ ประกัน + ล่วงหน้า,2568-06-01 00:00:00,,,,
C,17,4086,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,30.0,1200.0,2.0,14.0,3.0,164.0,1.0,150.0,7230.0,,,,,ค้างชำระ ประกัน + ล่วงหน้า,2568-06-01 00:00:00,,,,
C,18,4087,Suite,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,90.0,2464.0,18.0,508.0,21.0,816.0,3.0,308.0,8554.0,,,,,ค้างชำระ ประกัน + ล่วงหน้า,2568-06-04 00:00:00,,,,
W,19,4092,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,1000.0,,300.0,3192.0,10.0,264.0,20.0,663.0,10.0,399.0,9992.0,,,,,ค้างชำระ ประกัน + ล่วงหน้า,2568-03-14 00:00:00,,,,
W,20,4094,Studio,,,,,,,0.0,,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,30.0,344.0,8.0,169.0,9.0,212.0,1.0,43.0,6374.0,,,,,ค้างชำระ ประกัน + ล่วงหน้า,2568-06-12 00:00:00,,,,
W,21,4097,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,150.0,2608.0,3.0,18.0,8.0,344.0,5.0,326.0,8758.0,,,,,ค้างชำระ ประกัน + ล่วงหน้า,2568-06-01 00:00:00,,,,
W,22,4098,Studio,,,,,,,0.0,0,0.0,0.0,0,0.0,,-,-,,0,,,6000,5700.0,5500.0,500.0,,180.0,1648.0,3.0,15.0,9.0,221.0,6.0,206.0,7828.0,,,,,ค้างชำระ ประกัน + ล่วงหน้า,2568-06-01 00:00:00,,,,
